,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),5.16E+11,5.16E+11,3.68E+11,3.45E+11,3.27E+11,3.06E+11,2.85E+11,2.64E+11,2.49E+11,2.34E+11,2.18E+11,2.02E+11,1.86E+11,1.69E+11,1.52E+11,1.35E+11,1.19E+11,1.02E+11,8.49E+10,6.80E+10,5.13E+10,3.46E+10,1.80E+10,1.41E+09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
coal (BTU),2.26E+10,2.26E+10,1.74E+10,1.70E+10,1.67E+10,1.62E+10,1.58E+10,1.54E+10,1.50E+10,1.46E+10,1.41E+10,1.37E+10,1.32E+10,1.27E+10,1.22E+10,1.18E+10,1.13E+10,1.08E+10,1.03E+10,9.81E+09,9.33E+09,8.85E+09,8.37E+09,7.89E+09,7.42E+09,6.95E+09,6.48E+09,6.02E+09,5.56E+09,5.10E+09,4.65E+09,4.19E+09,3.74E+09,3.29E+09,2.84E+09,2.40E+09,1.95E+09,1.51E+09,1.07E+09,6.34E+08,2.02E+08,5.25E+07
natural gas (BTU),9.74E+12,9.74E+12,7.51E+12,7.34E+12,7.18E+12,7.00E+12,6.83E+12,6.65E+12,6.47E+12,6.29E+12,6.09E+12,5.89E+12,5.69E+12,5.49E+12,5.28E+12,5.07E+12,4.86E+12,4.65E+12,4.44E+12,4.23E+12,4.02E+12,3.81E+12,3.61E+12,3.40E+12,3.20E+12,2.99E+12,2.79E+12,2.59E+12,2.40E+12,2.20E+12,2.00E+12,1.81E+12,1.61E+12,1.42E+12,1.22E+12,1.03E+12,8.41E+11,6.51E+11,4.61E+11,2.73E+11,8.71E+10,2.26E+10
petroleum diesel (BTU),1.29E+11,1.29E+11,9.91E+10,9.69E+10,9.47E+10,9.24E+10,9.01E+10,8.78E+10,8.54E+10,8.30E+10,8.04E+10,7.78E+10,7.51E+10,7.24E+10,6.97E+10,6.69E+10,6.41E+10,6.14E+10,5.86E+10,5.58E+10,5.31E+10,5.03E+10,4.76E+10,4.49E+10,4.22E+10,3.95E+10,3.69E+10,3.42E+10,3.16E+10,2.90E+10,2.64E+10,2.38E+10,2.13E+10,1.87E+10,1.62E+10,1.36E+10,1.11E+10,8.59E+09,6.09E+09,3.61E+09,1.15E+09,2.98E+08
heat (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
biomass (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
kerosene (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heavy or residual fuel oil (BTU),1.93E+12,1.93E+12,1.49E+12,1.45E+12,1.42E+12,1.39E+12,1.35E+12,1.32E+12,1.28E+12,1.24E+12,1.21E+12,1.17E+12,1.13E+12,1.09E+12,1.05E+12,1.00E+12,9.62E+11,9.20E+11,8.79E+11,8.37E+11,7.96E+11,7.55E+11,7.14E+11,6.73E+11,6.33E+11,5.93E+11,5.53E+11,5.14E+11,4.74E+11,4.35E+11,3.96E+11,3.58E+11,3.19E+11,2.81E+11,2.43E+11,2.04E+11,1.67E+11,1.29E+11,9.14E+10,5.41E+10,1.72E+10,4.48E+09
LPG propane or butane (BTU),6.18E+12,6.18E+12,4.77E+12,4.66E+12,4.56E+12,4.44E+12,4.33E+12,4.23E+12,4.11E+12,3.99E+12,3.87E+12,3.74E+12,3.61E+12,3.48E+12,3.35E+12,3.22E+12,3.09E+12,2.95E+12,2.82E+12,2.69E+12,2.55E+12,2.42E+12,2.29E+12,2.16E+12,2.03E+12,1.90E+12,1.77E+12,1.65E+12,1.52E+12,1.40E+12,1.27E+12,1.15E+12,1.02E+12,9.00E+11,7.78E+11,6.56E+11,5.34E+11,4.13E+11,2.93E+11,1.74E+11,5.53E+10,1.44E+10
hydrogen(BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
