,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),1.00E+11,1.00E+11,7.13E+10,6.68E+10,6.33E+10,5.93E+10,5.53E+10,5.12E+10,4.83E+10,4.53E+10,4.23E+10,3.91E+10,3.60E+10,3.28E+10,2.95E+10,2.63E+10,2.30E+10,1.97E+10,1.65E+10,1.32E+10,9.94E+09,6.70E+09,3.48E+09,2.74E+08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
coal (BTU),4.31E+11,4.31E+11,3.32E+11,3.25E+11,3.18E+11,3.10E+11,3.02E+11,2.95E+11,2.87E+11,2.78E+11,2.70E+11,2.61E+11,2.52E+11,2.43E+11,2.34E+11,2.24E+11,2.15E+11,2.06E+11,1.96E+11,1.87E+11,1.78E+11,1.69E+11,1.60E+11,1.51E+11,1.42E+11,1.33E+11,1.24E+11,1.15E+11,1.06E+11,9.73E+10,8.86E+10,7.99E+10,7.13E+10,6.28E+10,5.42E+10,4.57E+10,3.72E+10,2.88E+10,2.04E+10,1.21E+10,3.85E+09,1.00E+09
natural gas (BTU),1.41E+12,1.41E+12,1.08E+12,1.06E+12,1.04E+12,1.01E+12,9.86E+11,9.61E+11,9.35E+11,9.08E+11,8.80E+11,8.51E+11,8.22E+11,7.92E+11,7.62E+11,7.32E+11,7.02E+11,6.72E+11,6.41E+11,6.11E+11,5.81E+11,5.51E+11,5.21E+11,4.91E+11,4.62E+11,4.33E+11,4.04E+11,3.75E+11,3.46E+11,3.18E+11,2.89E+11,2.61E+11,2.33E+11,2.05E+11,1.77E+11,1.49E+11,1.22E+11,9.40E+10,6.67E+10,3.95E+10,1.26E+10,3.27E+09
petroleum diesel (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heat (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
biomass (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
kerosene (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
LPG propane or butane (BTU),1.57E+10,1.57E+10,1.21E+10,1.18E+10,1.16E+10,1.13E+10,1.10E+10,1.07E+10,1.04E+10,1.01E+10,9.82E+09,9.50E+09,9.17E+09,8.84E+09,8.51E+09,8.17E+09,7.83E+09,7.49E+09,7.15E+09,6.82E+09,6.48E+09,6.14E+09,5.81E+09,5.48E+09,5.15E+09,4.83E+09,4.50E+09,4.18E+09,3.86E+09,3.54E+09,3.23E+09,2.91E+09,2.60E+09,2.29E+09,1.97E+09,1.66E+09,1.36E+09,1.05E+09,7.44E+08,4.41E+08,1.40E+08,3.64E+07
hydrogen(BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
