,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),3.13E+13,3.13E+13,3.12E+13,3.11E+13,3.09E+13,3.00E+13,2.98E+13,2.95E+13,2.92E+13,2.89E+13,2.85E+13,2.82E+13,2.79E+13,2.76E+13,2.72E+13,2.69E+13,2.65E+13,2.62E+13,2.59E+13,2.55E+13,2.52E+13,2.48E+13,2.45E+13,2.41E+13,2.38E+13,2.35E+13,2.31E+13,2.28E+13,2.24E+13,2.21E+13,2.18E+13,2.14E+13,2.11E+13,2.07E+13,2.04E+13,2.00E+13,1.97E+13,1.93E+13,1.90E+13,1.86E+13,1.82E+13,1.78E+13
coal (BTU),4.15E+11,4.15E+11,4.13E+11,4.11E+11,4.09E+11,3.98E+11,3.94E+11,3.90E+11,3.86E+11,3.82E+11,3.78E+11,3.74E+11,3.70E+11,3.65E+11,3.61E+11,3.56E+11,3.52E+11,3.47E+11,3.43E+11,3.38E+11,3.34E+11,3.29E+11,3.25E+11,3.20E+11,3.15E+11,3.11E+11,3.06E+11,3.02E+11,2.97E+11,2.93E+11,2.89E+11,2.84E+11,2.80E+11,2.75E+11,2.70E+11,2.66E+11,2.61E+11,2.56E+11,2.52E+11,2.47E+11,2.42E+11,2.36E+11
natural gas (BTU),4.53E+13,4.53E+13,4.51E+13,4.49E+13,4.46E+13,4.34E+13,4.30E+13,4.26E+13,4.21E+13,4.17E+13,4.13E+13,4.08E+13,4.03E+13,3.98E+13,3.94E+13,3.89E+13,3.84E+13,3.79E+13,3.74E+13,3.69E+13,3.64E+13,3.59E+13,3.54E+13,3.49E+13,3.44E+13,3.39E+13,3.34E+13,3.29E+13,3.25E+13,3.20E+13,3.15E+13,3.10E+13,3.05E+13,3.00E+13,2.95E+13,2.90E+13,2.85E+13,2.80E+13,2.74E+13,2.69E+13,2.64E+13,2.58E+13
petroleum diesel (BTU),7.70E+10,7.70E+10,7.67E+10,7.63E+10,7.59E+10,7.38E+10,7.31E+10,7.24E+10,7.16E+10,7.09E+10,7.01E+10,6.93E+10,6.85E+10,6.77E+10,6.69E+10,6.61E+10,6.52E+10,6.44E+10,6.36E+10,6.27E+10,6.19E+10,6.10E+10,6.02E+10,5.93E+10,5.85E+10,5.77E+10,5.68E+10,5.60E+10,5.52E+10,5.43E+10,5.35E+10,5.27E+10,5.18E+10,5.10E+10,5.01E+10,4.93E+10,4.84E+10,4.75E+10,4.67E+10,4.57E+10,4.48E+10,4.39E+10
heat (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
biomass (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
kerosene (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heavy or residual fuel oil (BTU),4.12E+12,4.12E+12,4.10E+12,4.08E+12,4.06E+12,3.95E+12,3.91E+12,3.87E+12,3.83E+12,3.79E+12,3.75E+12,3.71E+12,3.67E+12,3.62E+12,3.58E+12,3.54E+12,3.49E+12,3.45E+12,3.40E+12,3.36E+12,3.31E+12,3.27E+12,3.22E+12,3.18E+12,3.13E+12,3.09E+12,3.04E+12,3.00E+12,2.95E+12,2.91E+12,2.86E+12,2.82E+12,2.77E+12,2.73E+12,2.68E+12,2.64E+12,2.59E+12,2.54E+12,2.50E+12,2.45E+12,2.40E+12,2.35E+12
LPG propane or butane (BTU),2.49E+12,2.49E+12,2.48E+12,2.47E+12,2.45E+12,2.39E+12,2.36E+12,2.34E+12,2.32E+12,2.29E+12,2.27E+12,2.24E+12,2.22E+12,2.19E+12,2.16E+12,2.14E+12,2.11E+12,2.08E+12,2.06E+12,2.03E+12,2.00E+12,1.97E+12,1.95E+12,1.92E+12,1.89E+12,1.87E+12,1.84E+12,1.81E+12,1.78E+12,1.76E+12,1.73E+12,1.70E+12,1.68E+12,1.65E+12,1.62E+12,1.59E+12,1.57E+12,1.54E+12,1.51E+12,1.48E+12,1.45E+12,1.42E+12
hydrogen(BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
