Unit: $/MW,Distributed Solar Total Cap Cost,,,
2019,661234 ,,,
2020,645116 ,,,
2021,613996 ,,,
2022,582876 ,,,
2023,551756 ,,,
2024,520636 ,,,
2025,489516 ,,,
2026,458396 ,,,
2027,427276 ,,,
2028,396157 ,,,
2029,365037 ,,,
2030,333917 ,,,
2031,330038 ,,,
2032,326160 ,,,
2033,322281 ,,,
2034,318403 ,,,
2035,314524 ,,,
2036,310645 ,,,
2037,306767 ,,,
2038,302888 ,,,
2039,299010 ,,,
2040,295131 ,,,
2041,291253 ,,,
2042,287374 ,,,
2043,283496 ,,,
2044,279617 ,,,
2045,275739 ,,,
2046,271860 ,,,
2047,267982 ,,,
2048,264103 ,,,
2049,260225 ,,,
2050,256346 ,,,
2051,252468 ,,,
2052,248589 ,,,
2053,244711 ,,,
2054,240832 ,,,
2055,236954 ,,,
2056,233075 ,,,
2057,229197 ,,,
2058,225318 ,,,
2059,221440 ,,,
2060,217561 ,,,
