Year,heating,cooling & ventilation,envelope,lighting,appliances,other
electricity (BTU),0.0000E+00,6.9116E+13,0.0000E+00,3.4863E+13,2.8473E+12,6.2659E+13
coal (BTU),7.1809E+11,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
natural gas (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.2392E+13,0.0000E+00
petroleum diesel (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.5347E+13,0.0000E+00
heat (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
biomass (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
kerosene (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
heavy or residual fuel oil (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
LPG propane or butane (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.9986E+12,0.0000E+00
hydrogen (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
