Year,heating,cooling & ventilation,envelope,lighting,appliances,other
electricity (BTU),8.7340E+10,2.9713E+10,0.0000E+00,3.9581E+10,4.5054E+11,6.3954E+11
coal (BTU),3.5812E+11,0.0000E+00,0.0000E+00,0.0000E+00,1.8778E+10,0.0000E+00
natural gas (BTU),9.3691E+11,0.0000E+00,0.0000E+00,0.0000E+00,6.4863E+12,0.0000E+00
petroleum diesel (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.1047E+10,0.0000E+00
heat (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
biomass (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
kerosene (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
heavy or residual fuel oil (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3336E+12,0.0000E+00
LPG propane or butane (BTU),1.3246E+10,0.0000E+00,0.0000E+00,0.0000E+00,5.2189E+12,0.0000E+00
hydrogen (BTU),0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
