BAU Capacity Retirements (MW),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
hard coal,0,0,0,0,216,240,258,270,276,294,306,330,342,354,378,396,402,420,432,456,450,456,456,456,462,462,438,426,414,396,384,378,354,342,312,288,264,246,228,186,168
natural gas nonpeaker,0,45,30,30,40,40,45,55,55,65,70,75,90,90,100,105,115,120,125,130,140,145,155,155,155,165,165,170,175,175,175,165,165,170,165,155,140,140,130,125,110
nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,76,78,76,78,30,2,2,2,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0
solar pv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,3,9,9,37,46,45,36,37,8,0.9,0,0,0,0,0,0,0,0,0,0,0
solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petroleum,0,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,5,5,10,5,5,5,5,5,5,0,5,5,0,0,5,0,0,0,0,5,0,0,0,0,0
natural gas peaker,0,19,13.3,14.25,15.2,18.05,19.95,22.8,25.65,27.55,30.4,34.2,38.95,41.8,46.55,50.35,54.15,57,58.9,61.75,66.5,69.35,73.15,74.1,75.05,78.85,81.7,83.6,86.45,86.45,86.45,85.5,86.45,86.45,85.5,82.65,78.85,76,74.1,68.4,63.65
lignite,0,20,10,15,15,10,15,20,15,15,15,20,15,20,15,15,20,15,15,15,15,10,15,10,15,5,10,5,10,0,5,5,0,0,0,0,0,0,0,0,0
offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,16,24,24,24,24,24,40,40,40,40,96,72,72,48,48,5.5,0,0,0,0,0,0
crude oil,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil,0,20,15,10,15,15,20,15,20,15,20,20,15,20,20,20,20,15,20,20,15,15,15,15,15,10,10,10,10,5,5,5,0,5,0,0,0,0,0,0,0
municipal solid waste,0,0,0,0,0,6,0,0,6,6,0,6,6,6,6,12,6,12,12,12,12,12,12,18,12,18,18,18,18,24,18,24,18,24,24,18,24,24,18,24,18
