Year,Battery Cost ($/MW),,,,
2020,412952 ,,,,
2021,357892 ,,,,
2022,330362 ,,,,
2023,302831 ,,,,
2024,275301 ,,,,
2025,247771 ,,,,
2026,240701 ,,,,
2027,233832 ,,,,
2028,227159 ,,,,
2029,220677 ,,,,
2030,214380 ,,,,
2031,208262 ,,,,
2032,202319 ,,,,
2033,196546 ,,,,
2034,190937 ,,,,
2035,185488 ,,,,
2036,180195 ,,,,
2037,175053 ,,,,
2038,170058 ,,,,
2039,165205 ,,,,
2040,160491 ,,,,
2041,155911 ,,,,
2042,151462 ,,,,
2043,147140 ,,,,
2044,142941 ,,,,
2045,138862 ,,,,
2046,134899 ,,,,
2047,131050 ,,,,
2048,127310 ,,,,
2049,123677 ,,,,
2050,120148 ,,,,
2051,116719 ,,,,
2052,113388 ,,,,
2053,110153 ,,,,
2054,107009 ,,,,
2055,103956 ,,,,
2056,100989 ,,,,
2057,98107 ,,,,
2058,95308 ,,,,
2059,92588 ,,,,
2060,89946 ,,,,
