Heat Rate by Electricity Fuel BTU/(MW*hour),preexisting,preexisting nonretiring (not used in U.S. dataset),newly built
hard coal,9195752.375,0,7500126.178
natural gas nonpeaker,5631222.919,5631222.919,5520400.883
nuclear,10448000,0,10448000
hydro,0,0,0
wind,0,0,0
solar PV,0,0,0
solar thermal,0,0,0
biomass,8877944.247,0,8877944.247
geothermal,0,0,0
petroleum,48685209.35,0,48685209.35
natural gas peaker,5631222.919,0,5520400.883
lignite,9195752.375,0,7500126.178
offshore wind,0,0,0
crude oil,48685209.35,0,48685209.35
heavy or residual fuel oil,48685209.35,0,48685209.35
municipal solid waste,8877944.247,0,8877944.247
