Fixed O&M ($/MW) - Preex. Retiring,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
hard coal,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077
natural gas nonpeaker,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692
nuclear,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445,86445
hydro,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538,23538
onshore wind,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440,23440
solar PV,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874,9874
solar thermal,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681,51681
biomass,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551,134551
geothermal,123078,123078,122227,121375,120524,119672,118821,117969,117118,116266,115414,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563,114563
petroleum,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090
natural gas peaker,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692,15692
lignite,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077,13077
offshore wind,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721,44721
crude oil,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090
heavy or residual fuel oil,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090,14090
municipal solid waste,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750,253750
