Unit: $/MW,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Hard Coal,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626,620626
Natural Gas Nonpeaker,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067
Nuclear,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681,1916681
Hydro,1318249,1430378,1574965,1538814,1585825,1632835,1679846,1726857,1773867,1820878,1867889,1914899,1961910,2008921,2055931,2102942,2149953,2196963,2243974,2290985,2337995,2385006,2432017,2479028,2526038,2573049,2620060,2667070,2714081,2761092,2808102,2855113,2902124,2949134,2996145,3043156,3090166,3137177,3184188,3231198,3278209,3325220
Onshore Wind,741825,741825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar PV,509173,509173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar Thermal,5805652,3993279,4351044,4169899,3947664,3737274,3538096,3349533,3171020,3002021,2842028,2690562,2547169,2411418,2282901,2161234,2046051,1937007,1833774,1736043,1643521,1555930,1473006,1394503,1320183,1249824,1183214,1120155,1060456,1003939,950434,899781,851827,806429,763451,722763,684243,647776,613253,580570,549628,520336
Biomass,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341,1913341
Geothermal,3472453,2930592,3358023,3099825,3048381,2997791,2948041,2899116,2851003,2803689,2757160,2711403,2666405,2622154,2578638,2535844,2493760,2452374,2411675,2371652,2332293,2293587,2255523,2218091,2181280,2145081,2109481,2074473,2040046,2006190,1972896,1940154,1907956,1876292,1845154,1814532,1784419,1754805,1725683,1697044,1668881,1641184
Petroleum,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067
Natural Gas Peaker,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067
Lignite,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269,719269
Offshore Wind,1230429,1230429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crude Oil,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067
Heavy or Residual Fuel Oil,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067,435067
Municipal Solid Waste,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288,1397288
