Capacity Retirements (MW),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
hard coal,0,0,0,0,402,474,378,450,444,408,300,306,588,546,492,468,1014,924,1392,1368,1452,918,654,180,174,78,72,60,12,6,132,882,1440,1878,1872,1746,996,432,0,0,0
natural gas nonpeaker,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,15,15,20,160,320,320,350,380,255,290,320,290,255,375,175,150,275,420,275,270,265,325,370,555,695,925
nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,76,78,76,78,30,2,2,40,80,114,114,114,76,38,0.4,0,0,0,0,0,0,0
solar pv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,3,9,9,37,46,45,54,71,61,52,52,35,17,0.9,0,0,0,0,0,0,0
solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,114,162,168,162,108,54,6,0,0
geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petroleum,0,15,10,20,15,15,15,20,15,15,15,10,5,5,4.77860331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas peaker,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,7.6,7.6,7.6,6.65,69.35,136.8,136.8,150.1,162.45,110.2,123.5,136.8,124.45,111.15,159.6,75.05,64.6,117.8,178.6,117.8,210.9,209,261.25,307.8,415.15,399.95,532.95
lignite,0,60,45,50,45,45,45,45,45,35,30,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,16,24,24,24,24,24,40,40,40,40,96,72,136,176,248,192,200,128,64,4.5,0,0
crude oil,0,0,5,5,0,5,5,5,0,5,5,0,0,5,1.015975633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil,0,50,40,50,55,50,50,55,50,50,45,30,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,18,30,30,18,24,36,30,42,48,48,54,72,66,48,54,24,3.8,0,0,0,0,0
