Unit: dimensionless (priority),production,imports,exports
electricity (not used in this variable),2,3,1
hard coal,2,3,1
natural gas,3,2,1
nuclear,3,1,2
hydro (is not a fuel),0,0,0
wind (is not a fuel),0,0,0
solar (is not a fuel),0,0,0
biomass,1,2,3
petroleum gasoline,2,3,1
petroleum diesel,3,2,1
biofuel gasoline,1,2,3
biofuel diesel,1,2,3
jet fuel or kerosene,1,2,3
heat (not used in this variable),1,2,2
geothermal (is not a fuel),0,0,0
lignite,1,3,1
crude oil,2,3,1
heavy fuel oil,2,3,1
LPG propane or butane,2,3,1
municipal solid waste,1,2,3
hydrogen,1,2,3
