Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,2.85363E+11,2.86358E+11,2.74159E+11,2.69977E+11,2.65793E+11,2.61522E+11,2.57188E+11,2.52882E+11,2.48539E+11,2.44238E+11,2.39922E+11,2.35603E+11,2.31343E+11,2.27095E+11,2.22868E+11,2.1871E+11,2.14583E+11,2.10528E+11,2.06513E+11,2.0254E+11,1.98644E+11,1.94795E+11,1.90997E+11,1.87274E+11,1.83604E+11,1.80007E+11,1.76463E+11,1.72973E+11,1.69552E+11,1.66183E+11,1.6288E+11,1.59626E+11,1.56421E+11,1.53275E+11,1.50174E+11,1.47128E+11,1.44122E+11,1.41155E+11,1.38235E+11,1.35349E+11,1.32502E+11,1.29685E+11
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining Support Service Activities 09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,1.11251E+12,1.40036E+12,1.28173E+12,1.28933E+12,1.29447E+12,1.29805E+12,1.30064E+12,1.3019E+12,1.30314E+12,1.3044E+12,1.3057E+12,1.30509E+12,1.30454E+12,1.30402E+12,1.30354E+12,1.30308E+12,1.30133E+12,1.30086E+12,1.30033E+12,1.29974E+12,1.29903E+12,1.29741E+12,1.29356E+12,1.28873E+12,1.2829E+12,1.27603E+12,1.26812E+12,1.25914E+12,1.24909E+12,1.23796E+12,1.22573E+12,1.2124E+12,1.19677E+12,1.18008E+12,1.16234E+12,1.14355E+12,1.12374E+12,1.10292E+12,1.08112E+12,1.05837E+12,1.0347E+12,1.01015E+12
textiles apparel and leather 13T15,2.17743E+11,2.33362E+11,2.52503E+11,2.32968E+11,2.31191E+11,2.29197E+11,2.27092E+11,2.24819E+11,2.22609E+11,2.20463E+11,2.18383E+11,2.16048E+11,2.13781E+11,2.11581E+11,2.09444E+11,2.07365E+11,2.05138E+11,2.03163E+11,2.01231E+11,1.99335E+11,1.97471E+11,1.95513E+11,1.93268E+11,1.90929E+11,1.88494E+11,1.8596E+11,1.83327E+11,1.80596E+11,1.77766E+11,1.74837E+11,1.7181E+11,1.68686E+11,1.65301E+11,1.6183E+11,1.58275E+11,1.54638E+11,1.50923E+11,1.47134E+11,1.43274E+11,1.39347E+11,1.35361E+11,1.31319E+11
wood products 16,99418494831,78574555999,1.11681E+11,1.12518E+11,1.13124E+11,1.1358E+11,1.13935E+11,1.14157E+11,1.14365E+11,1.14559E+11,1.14742E+11,1.14745E+11,1.14739E+11,1.14723E+11,1.14697E+11,1.14661E+11,1.145E+11,1.14438E+11,1.1436E+11,1.14264E+11,1.14148E+11,1.1394E+11,1.13525E+11,1.13014E+11,1.12406E+11,1.11697E+11,1.10887E+11,1.09977E+11,1.08964E+11,1.07849E+11,1.06632E+11,1.05313E+11,1.03789E+11,1.02168E+11,1.00453E+11,98644063506,96744789931,94757094309,92684570428,90530373210,88299102863,85994935909
pulp paper and printing 17T18,2.33498E+11,2.21216E+11,2.52468E+11,2.61901E+11,2.70711E+11,2.79058E+11,2.87044E+11,2.94581E+11,3.01962E+11,3.09197E+11,3.16297E+11,3.22793E+11,3.29151E+11,3.35377E+11,3.41476E+11,3.47449E+11,3.52948E+11,3.58664E+11,3.64251E+11,3.69704E+11,3.75019E+11,3.79959E+11,3.84128E+11,3.87878E+11,3.91197E+11,3.94067E+11,3.96475E+11,3.98409E+11,3.9986E+11,4.00813E+11,4.01261E+11,4.01193E+11,4.00203E+11,3.98688E+11,3.96643E+11,3.94067E+11,3.90961E+11,3.87322E+11,3.83157E+11,3.78469E+11,3.73268E+11,3.67562E+11
refined petroleum and coke 19,1.34245E+14,1.32387E+14,1.3968E+14,1.42957E+14,1.4608E+14,1.49052E+14,1.51925E+14,1.54645E+14,1.57367E+14,1.6009E+14,1.62814E+14,1.65285E+14,1.67748E+14,1.702E+14,1.72641E+14,1.75067E+14,1.77297E+14,1.79683E+14,1.82045E+14,1.84379E+14,1.86678E+14,1.88823E+14,1.90608E+14,1.92214E+14,1.93633E+14,1.94855E+14,1.95873E+14,1.96679E+14,1.97269E+14,1.97633E+14,1.97766E+14,1.97663E+14,1.97116E+14,1.96324E+14,1.95285E+14,1.93997E+14,1.92457E+14,1.90664E+14,1.8862E+14,1.86323E+14,1.83778E+14,1.80987E+14
