Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,59450881202,59658065132,57116762016,56245368581,55373747034,54484036391,53581026297,52683931603,51779143841,50883113045,49983893856,49084198887,48196566704,47311554939,46431051191,45564742012,44704998183,43860248216,43023614162,42196089858,41384264795,40582412127,39791129060,39015585935,38250930779,37501676074,36763350770,36036091092,35323439475,34621525033,33933434805,33255570444,32587764411,31932430374,31286405781,30651783045,30025603719,29407503578,28799092303,28197730037,27604782621,27017751265
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other mining and quarrying 07T08,1.54311E+13,1.52308E+13,1.60468E+13,1.64172E+13,1.67705E+13,1.71072E+13,1.74331E+13,1.77422E+13,1.80516E+13,1.83614E+13,1.86714E+13,1.89535E+13,1.92347E+13,1.95151E+13,1.97942E+13,2.0072E+13,2.03279E+13,2.06015E+13,2.08726E+13,2.11406E+13,2.1405E+13,2.16522E+13,2.18596E+13,2.20471E+13,2.22139E+13,2.23588E+13,2.2481E+13,2.25797E+13,2.26543E+13,2.27037E+13,2.27275E+13,2.27249E+13,2.26727E+13,2.25932E+13,2.2486E+13,2.23509E+13,2.21876E+13,2.1996E+13,2.17761E+13,2.1528E+13,2.12519E+13,2.09482E+13
Mining Support Service Activities 09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,1.7528E+12,2.20632E+12,2.01941E+12,2.03139E+12,2.03947E+12,2.04512E+12,2.0492E+12,2.05118E+12,2.05315E+12,2.05513E+12,2.05717E+12,2.05622E+12,2.05534E+12,2.05453E+12,2.05377E+12,2.05304E+12,2.05029E+12,2.04954E+12,2.04872E+12,2.04778E+12,2.04667E+12,2.04412E+12,2.03805E+12,2.03044E+12,2.02125E+12,2.01044E+12,1.99797E+12,1.98382E+12,1.96799E+12,1.95044E+12,1.93117E+12,1.91017E+12,1.88555E+12,1.85926E+12,1.8313E+12,1.8017E+12,1.77049E+12,1.73769E+12,1.70335E+12,1.6675E+12,1.6302E+12,1.59153E+12
textiles apparel and leather 13T15,3.69699E+12,3.96219E+12,4.28716E+12,3.95549E+12,3.92531E+12,3.89147E+12,3.85573E+12,3.81713E+12,3.7796E+12,3.74318E+12,3.70787E+12,3.66821E+12,3.62973E+12,3.59237E+12,3.55609E+12,3.52079E+12,3.48297E+12,3.44944E+12,3.41664E+12,3.38446E+12,3.3528E+12,3.31956E+12,3.28145E+12,3.24173E+12,3.20038E+12,3.15736E+12,3.11266E+12,3.06628E+12,3.01823E+12,2.9685E+12,2.91711E+12,2.86407E+12,2.8066E+12,2.74766E+12,2.6873E+12,2.62555E+12,2.56248E+12,2.49814E+12,2.4326E+12,2.36594E+12,2.29825E+12,2.22962E+12
wood products 16,1.76493E+11,1.3949E+11,1.98262E+11,1.99748E+11,2.00824E+11,2.01634E+11,2.02263E+11,2.02658E+11,2.03026E+11,2.03371E+11,2.03696E+11,2.03702E+11,2.0369E+11,2.03662E+11,2.03617E+11,2.03553E+11,2.03266E+11,2.03156E+11,2.03019E+11,2.02849E+11,2.02642E+11,2.02273E+11,2.01536E+11,2.00629E+11,1.99549E+11,1.98291E+11,1.96854E+11,1.95236E+11,1.93439E+11,1.91459E+11,1.89299E+11,1.86957E+11,1.84252E+11,1.81375E+11,1.78329E+11,1.75118E+11,1.71747E+11,1.68218E+11,1.64539E+11,1.60714E+11,1.56753E+11,1.52663E+11
pulp paper and printing 17T18,2.72152E+12,2.57837E+12,2.94262E+12,3.05257E+12,3.15525E+12,3.25254E+12,3.34562E+12,3.43347E+12,3.51949E+12,3.60382E+12,3.68658E+12,3.76229E+12,3.8364E+12,3.90897E+12,3.98005E+12,4.04966E+12,4.11376E+12,4.18038E+12,4.2455E+12,4.30906E+12,4.37101E+12,4.42858E+12,4.47717E+12,4.52089E+12,4.55957E+12,4.59302E+12,4.62108E+12,4.64363E+12,4.66053E+12,4.67164E+12,4.67687E+12,4.67608E+12,4.66454E+12,4.64687E+12,4.62304E+12,4.59302E+12,4.55681E+12,4.51441E+12,4.46586E+12,4.41122E+12,4.35059E+12,4.28409E+12
refined petroleum and coke 19,2.13175E+14,2.10408E+14,2.21682E+14,2.26798E+14,2.3168E+14,2.36331E+14,2.40833E+14,2.45103E+14,2.49378E+14,2.53658E+14,2.5794E+14,2.61837E+14,2.65723E+14,2.69595E+14,2.73452E+14,2.77289E+14,2.80824E+14,2.84604E+14,2.88349E+14,2.92051E+14,2.95704E+14,2.9912E+14,3.01984E+14,3.04574E+14,3.06878E+14,3.0888E+14,3.10568E+14,3.11932E+14,3.12962E+14,3.13645E+14,3.13974E+14,3.13937E+14,3.13215E+14,3.12117E+14,3.10636E+14,3.08769E+14,3.06513E+14,3.03866E+14,3.00828E+14,2.97399E+14,2.93585E+14,2.89389E+14
