Unit: BTU,2.02E+03,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,3.71E+11,3.74008E+11,3.58832E+11,3.54103E+11,3.49352E+11,3.44464E+11,3.39471E+11,3.34492E+11,3.29442E+11,3.24425E+11,3.19365E+11,3.14279E+11,3.09247E+11,3.0421E+11,2.9918E+11,2.94218E+11,2.89277E+11,2.84411E+11,2.79576E+11,2.74778E+11,2.70061E+11,2.65389E+11,2.60765E+11,2.56223E+11,2.51733E+11,2.47325E+11,2.42968E+11,2.38666E+11,2.34441E+11,2.30269E+11,2.26171E+11,2.22122E+11,2.18123E+11,2.14189E+11,2.103E+11,2.06471E+11,2.02681E+11,1.9893E+11,1.95227E+11,1.91556E+11,1.87925E+11,1.84319E+11
coal mining 05,1.40E+09,1388418558,1470849341,1513070727,1554138284,1594059057,1633357092,1671463553,1709970218,1748878403,1788186473,1825185437,1862457700,1899991886,1937774071,1975768326,2011963787,2050261718,2088662499,2127115818,2165567557,2202629293,2235952588,2267535741,2297252698,2324955798,2350521982,2373831378,2394768103,2413196979,2429012036,2442089463,2449878684,2454714340,2456505858,2455173018,2450646939,2442846347,2431728047,2417238527,2399364107,2378082678
oil and gas extraction 06,1.02E+09,1007373588,872852468,914077329.3,953041116,990386017.6,1026282288,1060777543,1094148489,1126496293,1157913059,1188159970,1217610628,1246333479,1274390202,1301833808,1328459056,1354809464,1380674845,1406087317,1431074769,1455481955,1479013918,1501958718,1524318419,1546089949,1567271673,1587860693,1607853139,1627241018,1646019228,1664179010,1681358370,1697899839,1713796978,1729044182,1743636918,1757568294,1770836595,1783438198,1795375109,1806647827
other mining and quarrying 07T08,3.74E+10,37442313292,38073301647,38448928038,38815839203,39174212901,39527406156,39872018231,40217879686,40564984279,40913308110,41246584189,41580460972,41914867960,42249721153,42584808972,42908370692,43243294966,43577837436,43911721028,44244652667,44568734009,44870776907,45162406800,45443082377,45712154043,45969123815,46213523162,46444916824,46662774468,46866737676,47056360514,47218109098,47364959617,47496672858,47613071767,47714045140,47799421114,47869233114,47923462539,47962300121,47985891730
Mining Support Service Activities 09,1.02E+11,1.00935E+11,1.06343E+11,1.08797E+11,1.11138E+11,1.1337E+11,1.15529E+11,1.17578E+11,1.19629E+11,1.21681E+11,1.23736E+11,1.25605E+11,1.27469E+11,1.29327E+11,1.31177E+11,1.33017E+11,1.34713E+11,1.36526E+11,1.38323E+11,1.40099E+11,1.41851E+11,1.4349E+11,1.44864E+11,1.46106E+11,1.47212E+11,1.48172E+11,1.48982E+11,1.49636E+11,1.5013E+11,1.50458E+11,1.50616E+11,1.50598E+11,1.50252E+11,1.49725E+11,1.49015E+11,1.4812E+11,1.47038E+11,1.45768E+11,1.44311E+11,1.42666E+11,1.40837E+11,1.38824E+11
food beverage and tobacco 10T12,6.17E+12,7.83611E+12,7.23106E+12,7.33375E+12,7.42363E+12,7.50571E+12,7.58303E+12,7.65345E+12,7.72463E+12,7.79673E+12,7.86987E+12,7.93238E+12,7.99583E+12,8.06025E+12,8.12562E+12,8.19183E+12,8.25067E+12,8.31824E+12,8.38628E+12,8.45461E+12,8.52303E+12,8.58616E+12,8.63509E+12,8.67787E+12,8.71417E+12,8.74361E+12,8.7659E+12,8.78075E+12,8.78789E+12,8.787E+12,8.77784E+12,8.76013E+12,8.72494E+12,8.68086E+12,8.62771E+12,8.56537E+12,8.49372E+12,8.41262E+12,8.32205E+12,8.22197E+12,8.11244E+12,7.99351E+12
textiles apparel and leather 13T15,5.14E+12,4.99788E+12,5.44687E+12,5.25316E+12,5.24704E+12,5.23575E+12,5.22158E+12,5.20316E+12,5.18582E+12,5.16962E+12,5.15458E+12,5.13311E+12,5.11285E+12,5.09377E+12,5.0758E+12,5.05885E+12,5.03786E+12,5.0227E+12,5.00823E+12,4.99432E+12,4.98085E+12,4.96468E+12,4.9408E+12,4.914E+12,4.88419E+12,4.85126E+12,4.81512E+12,4.77571E+12,4.733E+12,4.68689E+12,4.63736E+12,4.58435E+12,4.52333E+12,4.45894E+12,4.39117E+12,4.32004E+12,4.24558E+12,4.16783E+12,4.08684E+12,4.00267E+12,3.91544E+12,3.82525E+12
wood products 16,1.75E+12,1.39582E+12,2.00456E+12,2.04069E+12,2.07323E+12,2.10356E+12,2.13251E+12,2.15946E+12,2.18657E+12,2.21388E+12,2.24144E+12,2.26591E+12,2.29059E+12,2.31549E+12,2.3406E+12,2.36591E+12,2.38902E+12,2.41462E+12,2.44031E+12,2.46604E+12,2.49175E+12,2.51588E+12,2.53579E+12,2.55384E+12,2.5699E+12,2.58387E+12,2.59564E+12,2.60512E+12,2.61222E+12,2.61683E+12,2.61887E+12,2.61825E+12,2.61229E+12,2.60353E+12,2.59191E+12,2.57739E+12,2.55993E+12,2.53946E+12,2.51599E+12,2.48947E+12,2.45993E+12,2.42737E+12
pulp paper and printing 17T18,3.85E+12,3.67832E+12,4.22853E+12,4.41853E+12,4.60054E+12,4.77711E+12,4.94986E+12,5.11717E+12,5.28398E+12,5.45049E+12,5.61686E+12,5.77466E+12,5.93208E+12,6.0892E+12,6.2461E+12,6.40276E+12,6.55271E+12,6.70872E+12,6.86435E+12,7.01951E+12,7.17407E+12,7.32346E+12,7.45982E+12,7.58977E+12,7.71287E+12,7.8286E+12,7.93653E+12,8.03623E+12,8.12729E+12,8.20923E+12,8.28165E+12,8.34411E+12,8.38786E+12,8.42083E+12,8.44269E+12,8.45314E+12,8.45192E+12,8.43873E+12,8.4134E+12,8.37573E+12,8.32566E+12,8.26308E+12
refined petroleum and coke 19,1.60E+13,1.59995E+13,1.65322E+13,1.68261E+13,1.71134E+13,1.7394E+13,1.76712E+13,1.79416E+13,1.82146E+13,1.84902E+13,1.87684E+13,1.90331E+13,1.92997E+13,1.95682E+13,1.98383E+13,2.011E+13,2.03712E+13,2.06451E+13,2.092E+13,2.11954E+13,2.1471E+13,2.17386E+13,2.19843E+13,2.22199E+13,2.24446E+13,2.26577E+13,2.28583E+13,2.30457E+13,2.32193E+13,2.33783E+13,2.3522E+13,2.36497E+13,2.37462E+13,2.38255E+13,2.38869E+13,2.393E+13,2.39544E+13,2.39596E+13,2.39454E+13,2.39114E+13,2.38576E+13,2.37838E+13
