Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal mining 05,1.67768E+11,1.65584E+11,1.74447E+11,1.78465E+11,1.82297E+11,1.85948E+11,1.89481E+11,1.92832E+11,1.96186E+11,1.99543E+11,2.02902E+11,2.05958E+11,2.09004E+11,2.12039E+11,2.15062E+11,2.18069E+11,2.20838E+11,2.23799E+11,2.26733E+11,2.29632E+11,2.32493E+11,2.35166E+11,2.37406E+11,2.3943E+11,2.41228E+11,2.42789E+11,2.44104E+11,2.45163E+11,2.45959E+11,2.46483E+11,2.46728E+11,2.46686E+11,2.46106E+11,2.45229E+11,2.44053E+11,2.42572E+11,2.40787E+11,2.38695E+11,2.36295E+11,2.33589E+11,2.30581E+11,2.27272E+11
oil and gas extraction 06,6.60672E+11,6.39489E+11,5.75911E+11,6.11417E+11,6.45391E+11,6.78161E+11,7.09944E+11,7.40498E+11,7.70543E+11,8.00117E+11,8.29254E+11,8.56713E+11,8.83709E+11,9.10266E+11,9.36405E+11,9.62132E+11,9.86482E+11,1.01138E+12,1.03588E+12,1.05996E+12,1.08361E+12,1.10614E+12,1.12639E+12,1.14535E+12,1.16296E+12,1.17917E+12,1.19392E+12,1.20716E+12,1.21883E+12,1.22889E+12,1.23728E+12,1.24397E+12,1.24766E+12,1.24956E+12,1.24964E+12,1.24789E+12,1.24428E+12,1.23879E+12,1.23142E+12,1.22217E+12,1.21105E+12,1.19808E+12
other mining and quarrying 07T08,5.73088E+11,5.6512E+11,5.96772E+11,6.11048E+11,6.2466E+11,6.37622E+11,6.5016E+11,6.62046E+11,6.73943E+11,6.8585E+11,6.97766E+11,7.08592E+11,7.19386E+11,7.30141E+11,7.40852E+11,7.51503E+11,7.61304E+11,7.71795E+11,7.82184E+11,7.92453E+11,8.02581E+11,8.12038E+11,8.19939E+11,8.27066E+11,8.33383E+11,8.38847E+11,8.43425E+11,8.47087E+11,8.49805E+11,8.51544E+11,8.52281E+11,8.51988E+11,8.4976E+11,8.46468E+11,8.42096E+11,8.36633E+11,8.30075E+11,8.22409E+11,8.1364E+11,8.03768E+11,7.92807E+11,7.80768E+11
Mining Support Service Activities 09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,4.90635E+12,6.17584E+12,5.65264E+12,5.68618E+12,5.70881E+12,5.72461E+12,5.73604E+12,5.74158E+12,5.74708E+12,5.75264E+12,5.75834E+12,5.75568E+12,5.75322E+12,5.75094E+12,5.74882E+12,5.74678E+12,5.73909E+12,5.73699E+12,5.73468E+12,5.73205E+12,5.72895E+12,5.72181E+12,5.70482E+12,5.68352E+12,5.6578E+12,5.62752E+12,5.59262E+12,5.55303E+12,5.50871E+12,5.45959E+12,5.40565E+12,5.34686E+12,5.27795E+12,5.20435E+12,5.1261E+12,5.04325E+12,4.95589E+12,4.86407E+12,4.76793E+12,4.66758E+12,4.56319E+12,4.45493E+12
textiles apparel and leather 13T15,7.89468E+12,8.46099E+12,9.15494E+12,8.44667E+12,8.38224E+12,8.30997E+12,8.23365E+12,8.15122E+12,8.07108E+12,7.99331E+12,7.91789E+12,7.83321E+12,7.75103E+12,7.67126E+12,7.59379E+12,7.51841E+12,7.43764E+12,7.36605E+12,7.296E+12,7.22727E+12,7.15966E+12,7.08868E+12,7.0073E+12,6.92249E+12,6.83419E+12,6.74233E+12,6.64687E+12,6.54783E+12,6.44523E+12,6.33902E+12,6.22928E+12,6.11602E+12,5.9933E+12,5.86745E+12,5.73854E+12,5.60668E+12,5.472E+12,5.3346E+12,5.19465E+12,5.05229E+12,4.90775E+12,4.76121E+12
wood products 16,1.74215E+11,1.37689E+11,1.95703E+11,1.9717E+11,1.98232E+11,1.99031E+11,1.99652E+11,2.00043E+11,2.00406E+11,2.00746E+11,2.01067E+11,2.01073E+11,2.01061E+11,2.01034E+11,2.00989E+11,2.00925E+11,2.00642E+11,2.00534E+11,2.00398E+11,2.0023E+11,2.00027E+11,1.99662E+11,1.98935E+11,1.9804E+11,1.96973E+11,1.95731E+11,1.94313E+11,1.92716E+11,1.90942E+11,1.88988E+11,1.86855E+11,1.84544E+11,1.81874E+11,1.79034E+11,1.76028E+11,1.72858E+11,1.6953E+11,1.66047E+11,1.62415E+11,1.5864E+11,1.5473E+11,1.50692E+11
pulp paper and printing 17T18,5.22964E+12,4.95456E+12,5.65449E+12,5.86578E+12,6.06309E+12,6.25003E+12,6.4289E+12,6.59772E+12,6.76301E+12,6.92505E+12,7.08408E+12,7.22958E+12,7.37198E+12,7.51142E+12,7.64802E+12,7.78178E+12,7.90494E+12,8.03297E+12,8.1581E+12,8.28024E+12,8.39927E+12,8.50991E+12,8.60327E+12,8.68728E+12,8.76161E+12,8.82588E+12,8.87981E+12,8.92313E+12,8.95562E+12,8.97697E+12,8.98701E+12,8.98549E+12,8.96332E+12,8.92937E+12,8.88358E+12,8.82588E+12,8.75631E+12,8.67483E+12,8.58154E+12,8.47654E+12,8.36005E+12,8.23225E+12
refined petroleum and coke 19,1.50863E+13,1.48626E+13,1.57072E+13,1.60827E+13,1.644E+13,1.67795E+13,1.71071E+13,1.74169E+13,1.77266E+13,1.80363E+13,1.83459E+13,1.86259E+13,1.89046E+13,1.9182E+13,1.94579E+13,1.97319E+13,1.99828E+13,2.02518E+13,2.05178E+13,2.07802E+13,2.10386E+13,2.12786E+13,2.14768E+13,2.1654E+13,2.18094E+13,2.19417E+13,2.20502E+13,2.21341E+13,2.21927E+13,2.2225E+13,2.22306E+13,2.22086E+13,2.21351E+13,2.20332E+13,2.19027E+13,2.17433E+13,2.15549E+13,2.13371E+13,2.10903E+13,2.08144E+13,2.05098E+13,2.01769E+13
