Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,4.75607E+11,4.77265E+11,4.56934E+11,4.49963E+11,4.4299E+11,4.35872E+11,4.28648E+11,4.21471E+11,4.14233E+11,4.07065E+11,3.99871E+11,3.92674E+11,3.85573E+11,3.78492E+11,3.71448E+11,3.64518E+11,3.5764E+11,3.50882E+11,3.44189E+11,3.37569E+11,3.31074E+11,3.24659E+11,3.18329E+11,3.12125E+11,3.06007E+11,3.00013E+11,2.94107E+11,2.88289E+11,2.82588E+11,2.76972E+11,2.71467E+11,2.66045E+11,2.60702E+11,2.55459E+11,2.50291E+11,2.45214E+11,2.40205E+11,2.3526E+11,2.30393E+11,2.25582E+11,2.20838E+11,2.16142E+11
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other mining and quarrying 07T08,8.22229E+12,8.11559E+12,8.55039E+12,8.74772E+12,8.936E+12,9.1154E+12,9.28903E+12,9.45375E+12,9.61864E+12,9.78369E+12,9.94887E+12,1.00992E+13,1.0249E+13,1.03984E+13,1.05472E+13,1.06951E+13,1.08315E+13,1.09773E+13,1.11217E+13,1.12645E+13,1.14054E+13,1.15372E+13,1.16477E+13,1.17476E+13,1.18364E+13,1.19136E+13,1.19788E+13,1.20314E+13,1.20711E+13,1.20975E+13,1.21101E+13,1.21087E+13,1.20809E+13,1.20386E+13,1.19814E+13,1.19094E+13,1.18225E+13,1.17204E+13,1.16032E+13,1.1471E+13,1.13239E+13,1.1162E+13
Mining Support Service Activities 09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,62545291090,78728507957,72058909018,72486417177,72774846657,72976289028,73122059024,73192690523,73262761440,73333641904,73406251043,73372408984,73340982231,73311922074,73284962664,73258935584,73160856046,73134107840,73104744459,73071164115,73031706155,72940604442,72724099491,72452514572,72124629906,71738655675,71293688222,70789003342,70224070303,69597869080,68910311158,68160855804,67282392423,66344155620,65346599029,64290470247,63176815864,62006358193,60780783314,59501478436,58170770753,56790705414
textiles apparel and leather 13T15,21912741289,23484608343,25410779132,23444874556,23266035163,23065450500,22853603403,22624810571,22402385830,22186499461,21977182187,21742137240,21514039961,21292628041,21077589642,20868370354,20644174315,20445466707,20251028212,20060271219,19872614417,19675600647,19449712605,19214295601,18969227641,18714238134,18449290557,18174391582,17889592904,17594816880,17290217865,16975828922,16635219043,16285892819,15928086334,15562096564,15188280614,14806905015,14418454439,14023327164,13622128201,13215378643
wood products 16,16976988774,13417617692,19070992011,19213889608,19317404949,19395279071,19455813971,19493834528,19529224268,19562407294,19593684495,19594218411,19593109017,19590398200,19586066065,19579847941,19552282972,19541735506,19528481240,19512129685,19492273502,19456739730,19385924901,19298670187,19194728919,19073710219,18935466811,18779906586,18606996207,18416580254,18208757691,17983515161,17723311481,17446586949,17153613179,16844744648,16520419218,16180994583,15827084431,15459227504,15078209347,14684743156
pulp paper and printing 17T18,2.74505E+11,2.60066E+11,2.96806E+11,3.07896E+11,3.18253E+11,3.28066E+11,3.37455E+11,3.46316E+11,3.54992E+11,3.63498E+11,3.71845E+11,3.79482E+11,3.86957E+11,3.94276E+11,4.01447E+11,4.08468E+11,4.14933E+11,4.21653E+11,4.28221E+11,4.34632E+11,4.4088E+11,4.46687E+11,4.51588E+11,4.55998E+11,4.59899E+11,4.63273E+11,4.66104E+11,4.68378E+11,4.70083E+11,4.71204E+11,4.7173E+11,4.71651E+11,4.70487E+11,4.68705E+11,4.66301E+11,4.63273E+11,4.59621E+11,4.55344E+11,4.50448E+11,4.44936E+11,4.38821E+11,4.32113E+11
refined petroleum and coke 19,9.26728E+13,9.14291E+13,9.63986E+13,9.86425E+13,1.00782E+14,1.02819E+14,1.0479E+14,1.06657E+14,1.08526E+14,1.10397E+14,1.12268E+14,1.13968E+14,1.15663E+14,1.17351E+14,1.19032E+14,1.20704E+14,1.22242E+14,1.23887E+14,1.25516E+14,1.27127E+14,1.28714E+14,1.30197E+14,1.31435E+14,1.32553E+14,1.33543E+14,1.34399E+14,1.35117E+14,1.35692E+14,1.36118E+14,1.36392E+14,1.36508E+14,1.36464E+14,1.36117E+14,1.35604E+14,1.34923E+14,1.34071E+14,1.33048E+14,1.31853E+14,1.30485E+14,1.28946E+14,1.27237E+14,1.2536E+14
