Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,4.04731E+11,4.06142E+11,3.88841E+11,3.82909E+11,3.76975E+11,3.70918E+11,3.6477E+11,3.58663E+11,3.52503E+11,3.46403E+11,3.40282E+11,3.34157E+11,3.28114E+11,3.22089E+11,3.16094E+11,3.10197E+11,3.04344E+11,2.98593E+11,2.92897E+11,2.87264E+11,2.81737E+11,2.76278E+11,2.70891E+11,2.65611E+11,2.60406E+11,2.55305E+11,2.50278E+11,2.45327E+11,2.40476E+11,2.35697E+11,2.31013E+11,2.26398E+11,2.21852E+11,2.1739E+11,2.12992E+11,2.08672E+11,2.04409E+11,2.00201E+11,1.96059E+11,1.91965E+11,1.87929E+11,1.83932E+11
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil and gas extraction 06,3.62526E+12,3.50911E+12,3.16005E+12,3.3548E+12,3.54115E+12,3.72089E+12,3.89522E+12,4.06281E+12,4.2276E+12,4.38981E+12,4.54961E+12,4.70022E+12,4.84828E+12,4.99394E+12,5.13731E+12,5.27841E+12,5.41196E+12,5.54853E+12,5.68287E+12,5.81493E+12,5.94464E+12,6.06825E+12,6.17929E+12,6.28329E+12,6.37994E+12,6.46887E+12,6.54978E+12,6.62241E+12,6.68647E+12,6.74167E+12,6.78777E+12,6.82449E+12,6.8448E+12,6.85531E+12,6.85586E+12,6.84632E+12,6.82662E+12,6.79663E+12,6.75634E+12,6.70574E+12,6.64489E+12,6.57387E+12
other mining and quarrying 07T08,1.01271E+12,9.99565E+11,1.05312E+12,1.07742E+12,1.10061E+12,1.12271E+12,1.14409E+12,1.16438E+12,1.18469E+12,1.20502E+12,1.22536E+12,1.24388E+12,1.26233E+12,1.28073E+12,1.29905E+12,1.31728E+12,1.33407E+12,1.35203E+12,1.36982E+12,1.38741E+12,1.40476E+12,1.42099E+12,1.4346E+12,1.4469E+12,1.45785E+12,1.46736E+12,1.47538E+12,1.48186E+12,1.48675E+12,1.49E+12,1.49156E+12,1.49139E+12,1.48796E+12,1.48274E+12,1.47571E+12,1.46684E+12,1.45613E+12,1.44355E+12,1.42912E+12,1.41283E+12,1.39472E+12,1.37478E+12
Mining Support Service Activities 09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,3.89347E+12,4.90088E+12,4.4857E+12,4.51231E+12,4.53026E+12,4.5428E+12,4.55188E+12,4.55627E+12,4.56064E+12,4.56505E+12,4.56957E+12,4.56746E+12,4.56551E+12,4.5637E+12,4.56202E+12,4.5604E+12,4.55429E+12,4.55263E+12,4.5508E+12,4.54871E+12,4.54625E+12,4.54058E+12,4.5271E+12,4.5102E+12,4.48979E+12,4.46576E+12,4.43806E+12,4.40664E+12,4.37148E+12,4.3325E+12,4.28969E+12,4.24304E+12,4.18836E+12,4.12995E+12,4.06785E+12,4.00211E+12,3.93278E+12,3.85992E+12,3.78363E+12,3.70399E+12,3.62115E+12,3.53524E+12
textiles apparel and leather 13T15,1.26275E+12,1.35333E+12,1.46433E+12,1.35104E+12,1.34073E+12,1.32917E+12,1.31697E+12,1.30378E+12,1.29096E+12,1.27852E+12,1.26646E+12,1.25292E+12,1.23977E+12,1.22701E+12,1.21462E+12,1.20256E+12,1.18964E+12,1.17819E+12,1.16699E+12,1.156E+12,1.14518E+12,1.13383E+12,1.12081E+12,1.10725E+12,1.09312E+12,1.07843E+12,1.06316E+12,1.04732E+12,1.03091E+12,1.01392E+12,9.96369E+11,9.78252E+11,9.58624E+11,9.38493E+11,9.17874E+11,8.96784E+11,8.75242E+11,8.53265E+11,8.3088E+11,8.0811E+11,7.84991E+11,7.61551E+11
wood products 16,1.05229E+12,8.31668E+11,1.18208E+12,1.19094E+12,1.19736E+12,1.20218E+12,1.20593E+12,1.20829E+12,1.21048E+12,1.21254E+12,1.21448E+12,1.21451E+12,1.21444E+12,1.21428E+12,1.21401E+12,1.21362E+12,1.21191E+12,1.21126E+12,1.21044E+12,1.20943E+12,1.20819E+12,1.20599E+12,1.2016E+12,1.19619E+12,1.18975E+12,1.18225E+12,1.17368E+12,1.16404E+12,1.15332E+12,1.14152E+12,1.12864E+12,1.11468E+12,1.09855E+12,1.0814E+12,1.06324E+12,1.04409E+12,1.02399E+12,1.00295E+12,9.81014E+11,9.58213E+11,9.34596E+11,9.10208E+11
pulp paper and printing 17T18,2.42026E+12,2.29296E+12,2.61689E+12,2.71467E+12,2.80598E+12,2.8925E+12,2.97528E+12,3.05341E+12,3.1299E+12,3.2049E+12,3.2785E+12,3.34583E+12,3.41173E+12,3.47627E+12,3.53948E+12,3.60139E+12,3.65839E+12,3.71764E+12,3.77555E+12,3.83207E+12,3.88716E+12,3.93837E+12,3.98157E+12,4.02045E+12,4.05485E+12,4.0846E+12,4.10955E+12,4.1296E+12,4.14464E+12,4.15452E+12,4.15916E+12,4.15846E+12,4.1482E+12,4.13249E+12,4.1113E+12,4.0846E+12,4.0524E+12,4.01469E+12,3.97152E+12,3.92292E+12,3.86901E+12,3.80986E+12
refined petroleum and coke 19,1.25925E+12,1.24193E+12,1.31016E+12,1.34085E+12,1.3701E+12,1.39793E+12,1.42484E+12,1.45033E+12,1.47583E+12,1.50135E+12,1.52687E+12,1.55004E+12,1.57312E+12,1.59611E+12,1.619E+12,1.64175E+12,1.66265E+12,1.68504E+12,1.70719E+12,1.72908E+12,1.75065E+12,1.77077E+12,1.78753E+12,1.80262E+12,1.81596E+12,1.82746E+12,1.83705E+12,1.84467E+12,1.85025E+12,1.85373E+12,1.85505E+12,1.85416E+12,1.84912E+12,1.84179E+12,1.83214E+12,1.82016E+12,1.80584E+12,1.78914E+12,1.77009E+12,1.74867E+12,1.72494E+12,1.6989E+12
chemicals 20,4.24986E+13,4.27215E+13,4.96568E+13,5.12631E+13,5.27524E+13,5.4157E+13,5.54993E+13,5.67601E+13,5.8002E+13,5.92269E+13,6.04364E+13,6.15304E+13,6.26077E+13,6.3669E+13,6.4715E+13,6.57452E+13,6.66867E+13,6.76838E+13,6.86634E+13,6.96244E+13,7.05655E+13,7.14375E+13,7.21582E+13,7.28009E+13,7.33627E+13,7.38399E+13,7.42297E+13,7.45297E+13,7.47374E+13,7.48501E+13,7.48657E+13,7.47821E+13,7.45152E+13,7.41464E+13,7.36747E+13,7.30995E+13,7.24204E+13,7.16369E+13,7.07495E+13,6.97587E+13,6.8666E+13,6.74729E+13
rubber and plastic products 22,1.36798E+12,1.36287E+12,1.55637E+12,1.58438E+12,1.60773E+12,1.62754E+12,1.64448E+12,1.65812E+12,1.67017E+12,1.68068E+12,1.68973E+12,1.69484E+12,1.69854E+12,1.70088E+12,1.70186E+12,1.70151E+12,1.69815E+12,1.69513E+12,1.69078E+12,1.68506E+12,1.67797E+12,1.66849E+12,1.65497E+12,1.63907E+12,1.62081E+12,1.60022E+12,1.57733E+12,1.55219E+12,1.52486E+12,1.49538E+12,1.46384E+12,1.4303E+12,1.39347E+12,1.35491E+12,1.31473E+12,1.27304E+12,1.22997E+12,1.18564E+12,1.1402E+12,1.09378E+12,1.04655E+12,9.98653E+11
cement and other nonmetallic minerals 239,8.41831E+11,8.30352E+11,8.91101E+11,8.85768E+11,8.78916E+11,8.71216E+11,8.63065E+11,8.54249E+11,8.4565E+11,8.37274E+11,8.29122E+11,8.19978E+11,8.11074E+11,8.02402E+11,7.93948E+11,7.85694E+11,7.76857E+11,7.68959E+11,7.61203E+11,7.53566E+11,7.46028E+11,7.3812E+11,7.29114E+11,7.19735E+11,7.09982E+11,6.99846E+11,6.89327E+11,6.78428E+11,6.67152E+11,6.55499E+11,6.43476E+11,6.31087E+11,6.17724E+11,6.04041E+11,5.9005E+11,5.75763E+11,5.61198E+11,5.46365E+11,5.31287E+11,5.15979E+11,5.00468E+11,4.84775E+11
