Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,5.5254E+12,5.54465E+12,5.30846E+12,5.22748E+12,5.14647E+12,5.06378E+12,4.97985E+12,4.89647E+12,4.81238E+12,4.72911E+12,4.64553E+12,4.56191E+12,4.47942E+12,4.39716E+12,4.31533E+12,4.23481E+12,4.15491E+12,4.0764E+12,3.99864E+12,3.92173E+12,3.84628E+12,3.77175E+12,3.69821E+12,3.62613E+12,3.55506E+12,3.48543E+12,3.41681E+12,3.34921E+12,3.28298E+12,3.21774E+12,3.15379E+12,3.09079E+12,3.02873E+12,2.96782E+12,2.90778E+12,2.84879E+12,2.7906E+12,2.73315E+12,2.6766E+12,2.62071E+12,2.5656E+12,2.51105E+12
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining Support Service Activities 09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,1.06589E+12,1.34169E+12,1.22803E+12,1.23531E+12,1.24023E+12,1.24366E+12,1.24614E+12,1.24735E+12,1.24854E+12,1.24975E+12,1.25099E+12,1.25041E+12,1.24987E+12,1.24938E+12,1.24892E+12,1.24848E+12,1.2468E+12,1.24635E+12,1.24585E+12,1.24528E+12,1.2446E+12,1.24305E+12,1.23936E+12,1.23473E+12,1.22915E+12,1.22257E+12,1.21498E+12,1.20638E+12,1.19676E+12,1.18608E+12,1.17437E+12,1.1616E+12,1.14662E+12,1.13063E+12,1.11363E+12,1.09564E+12,1.07666E+12,1.05671E+12,1.03582E+12,1.01402E+12,9.91344E+11,9.67825E+11
textiles apparel and leather 13T15,1.88734E+12,2.02272E+12,2.18863E+12,2.0193E+12,2.0039E+12,1.98662E+12,1.96838E+12,1.94867E+12,1.92951E+12,1.91092E+12,1.89289E+12,1.87265E+12,1.853E+12,1.83393E+12,1.81541E+12,1.79739E+12,1.77808E+12,1.76096E+12,1.74422E+12,1.72779E+12,1.71162E+12,1.69466E+12,1.6752E+12,1.65492E+12,1.63382E+12,1.61185E+12,1.58903E+12,1.56536E+12,1.54083E+12,1.51544E+12,1.4892E+12,1.46212E+12,1.43279E+12,1.4027E+12,1.37188E+12,1.34036E+12,1.30816E+12,1.27532E+12,1.24186E+12,1.20783E+12,1.17327E+12,1.13824E+12
wood products 16,4.83977E+11,3.82507E+11,5.43672E+11,5.47746E+11,5.50697E+11,5.52917E+11,5.54643E+11,5.55727E+11,5.56735E+11,5.57681E+11,5.58573E+11,5.58588E+11,5.58557E+11,5.58479E+11,5.58356E+11,5.58179E+11,5.57393E+11,5.57092E+11,5.56714E+11,5.56248E+11,5.55682E+11,5.54669E+11,5.5265E+11,5.50163E+11,5.472E+11,5.4375E+11,5.39809E+11,5.35374E+11,5.30445E+11,5.25016E+11,5.19092E+11,5.12671E+11,5.05253E+11,4.97364E+11,4.89012E+11,4.80207E+11,4.70961E+11,4.61285E+11,4.51196E+11,4.40709E+11,4.29847E+11,4.1863E+11
pulp paper and printing 17T18,1.18704E+12,1.12461E+12,1.28348E+12,1.33144E+12,1.37622E+12,1.41866E+12,1.45926E+12,1.49757E+12,1.53509E+12,1.57188E+12,1.60797E+12,1.641E+12,1.67332E+12,1.70497E+12,1.73598E+12,1.76634E+12,1.79429E+12,1.82335E+12,1.85176E+12,1.87948E+12,1.9065E+12,1.93161E+12,1.9528E+12,1.97187E+12,1.98874E+12,2.00333E+12,2.01557E+12,2.02541E+12,2.03278E+12,2.03763E+12,2.03991E+12,2.03956E+12,2.03453E+12,2.02682E+12,2.01643E+12,2.00333E+12,1.98754E+12,1.96905E+12,1.94787E+12,1.92404E+12,1.8976E+12,1.86859E+12
refined petroleum and coke 19,1.2097E+12,1.19376E+12,1.25813E+12,1.28728E+12,1.31508E+12,1.34157E+12,1.36719E+12,1.39149E+12,1.41581E+12,1.44015E+12,1.46451E+12,1.48666E+12,1.50874E+12,1.53075E+12,1.55266E+12,1.57445E+12,1.59452E+12,1.61598E+12,1.63724E+12,1.65825E+12,1.67898E+12,1.69835E+12,1.71456E+12,1.72921E+12,1.74222E+12,1.7535E+12,1.76299E+12,1.77062E+12,1.77634E+12,1.78008E+12,1.78179E+12,1.78142E+12,1.77713E+12,1.77069E+12,1.76207E+12,1.75124E+12,1.73819E+12,1.72291E+12,1.7054E+12,1.68566E+12,1.66372E+12,1.6396E+12
chemicals 20,1.96051E+13,1.97152E+13,2.29008E+13,2.36373E+13,2.43203E+13,2.49646E+13,2.55804E+13,2.61592E+13,2.67293E+13,2.72916E+13,2.78469E+13,2.83496E+13,2.88448E+13,2.93327E+13,2.98136E+13,3.02874E+13,3.07208E+13,3.11796E+13,3.16305E+13,3.20729E+13,3.25063E+13,3.29084E+13,3.32415E+13,3.35392E+13,3.38001E+13,3.40224E+13,3.4205E+13,3.43467E+13,3.44463E+13,3.45027E+13,3.45149E+13,3.44818E+13,3.43652E+13,3.42022E+13,3.39922E+13,3.3735E+13,3.34304E+13,3.30782E+13,3.26786E+13,3.22317E+13,3.17384E+13,3.11991E+13
rubber and plastic products 22,1.0349E+12,1.03104E+12,1.17743E+12,1.19861E+12,1.21628E+12,1.23126E+12,1.24408E+12,1.2544E+12,1.26351E+12,1.27147E+12,1.27831E+12,1.28218E+12,1.28498E+12,1.28675E+12,1.28749E+12,1.28723E+12,1.28468E+12,1.2824E+12,1.27911E+12,1.27478E+12,1.26942E+12,1.26225E+12,1.25202E+12,1.23999E+12,1.22618E+12,1.2106E+12,1.19328E+12,1.17426E+12,1.15358E+12,1.13128E+12,1.10742E+12,1.08205E+12,1.05419E+12,1.02502E+12,9.94619E+11,9.63079E+11,9.30495E+11,8.9696E+11,8.62581E+11,8.27465E+11,7.91733E+11,7.55501E+11
cement and other nonmetallic minerals 239,2.80636E+12,2.76809E+12,2.9706E+12,2.95283E+12,2.92998E+12,2.90432E+12,2.87714E+12,2.84775E+12,2.81909E+12,2.79117E+12,2.76399E+12,2.73351E+12,2.70383E+12,2.67491E+12,2.64673E+12,2.61922E+12,2.58976E+12,2.56343E+12,2.53757E+12,2.51212E+12,2.48698E+12,2.46062E+12,2.4306E+12,2.39933E+12,2.36682E+12,2.33303E+12,2.29797E+12,2.26163E+12,2.22404E+12,2.18519E+12,2.14511E+12,2.10381E+12,2.05927E+12,2.01365E+12,1.96701E+12,1.91939E+12,1.87083E+12,1.82138E+12,1.77112E+12,1.72009E+12,1.66838E+12,1.61606E+12
iron and steel 241,4.42735E+12,4.42209E+12,4.6478E+12,4.70626E+12,4.75555E+12,4.79896E+12,4.83847E+12,4.87273E+12,4.9067E+12,4.94049E+12,4.97417E+12,5.00035E+12,5.02644E+12,5.05244E+12,5.07835E+12,5.10412E+12,5.12461E+12,5.14992E+12,5.17488E+12,5.19937E+12,5.2233E+12,5.24335E+12,5.25414E+12,5.26066E+12,5.26279E+12,5.26034E+12,5.25319E+12,5.24124E+12,5.22439E+12,5.20251E+12,5.17554E+12,5.14339E+12,5.10087E+12,5.05317E+12,5.00025E+12,4.94213E+12,4.87881E+12,4.81032E+12,4.73671E+12,4.65804E+12,4.57444E+12,4.48602E+12
