Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
coal mining 05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oil and gas extraction 06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining Support Service Activities 09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
food beverage and tobacco 10T12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
textiles apparel and leather 13T15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wood products 16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pulp paper and printing 17T18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
refined petroleum and coke 19,0.000814982,0.000813455,0.000815963,0.000816625,0.000817179,0.000817636,0.000818021,0.000818321,0.000818596,0.000818846,0.000819071,0.000819194,0.000819296,0.000819378,0.000819439,0.000819481,0.000819451,0.000819453,0.000819434,0.000819394,0.000819333,0.00081922,0.000819008,0.000818743,0.000818427,0.000818057,0.000817633,0.000817155,0.000816621,0.00081603,0.000815379,0.000814667,0.000813842,0.00081295,0.000811987,0.000810951,0.000809838,0.000808641,0.000807358,0.000805981,0.000804506,0.000802924
chemicals 20,0.460310413,0.459427735,0.460978295,0.461414966,0.461786244,0.462098623,0.462368379,0.462587632,0.462791358,0.462980244,0.463154882,0.463268574,0.463369935,0.463459277,0.463536864,0.463602611,0.463626521,0.463669053,0.463699603,0.46371798,0.463723977,0.463699585,0.46361575,0.463501355,0.46335613,0.463179409,0.462970702,0.462729403,0.462454781,0.462145678,0.461801087,0.461419549,0.460969479,0.460478656,0.459944917,0.459365856,0.458738799,0.458060446,0.457327473,0.456535839,0.455681399,0.454759173
rubber and plastic products 22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cement and other nonmetallic minerals 239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
iron and steel 241,0.946875283,0.946798468,0.946762359,0.946706965,0.946650002,0.946591563,0.946531916,0.946470911,0.946409144,0.946346618,0.946283336,0.946218474,0.94615287,0.946086523,0.946019431,0.945951585,0.945882444,0.945813074,0.945742925,0.945671986,0.945600245,0.945527372,0.945452831,0.945377132,0.945300257,0.945222186,0.945142898,0.945062372,0.944980584,0.944897502,0.944813098,0.944727332,0.944639614,0.944550442,0.944459764,0.944367525,0.944273664,0.94417811,0.944080789,0.943981615,0.9438805,0.943777342
other metals 242,0.924123915,0.924112916,0.924106572,0.924098022,0.924089292,0.924080395,0.92407136,0.924062172,0.924052899,0.924043542,0.924034102,0.924024486,0.924014789,0.924005011,0.923995154,0.923985215,0.923975136,0.923965036,0.923954853,0.923944587,0.923934237,0.923923768,0.923913121,0.923902353,0.923891464,0.923880451,0.923869314,0.923858051,0.923846659,0.923835138,0.923823484,0.923811695,0.923799708,0.923787578,0.923775301,0.923762871,0.923750285,0.923737535,0.923724616,0.92371152,0.923698239,0.923684764
metal products except machinery and vehicles 25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other manufacturing 31T33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
glass and glass products 231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
road vehicles 29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nonroad vehicles 30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
appliances and electrical equipment 27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
computers and electronics 26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other machinery 28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water and waste 36T39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
energy pipelines and gas processing 352T353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
construction 41T43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
