Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
coal mining 05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oil and gas extraction 06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining Support Service Activities 09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
food beverage and tobacco 10T12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
textiles apparel and leather 13T15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wood products 16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pulp paper and printing 17T18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
refined petroleum and coke 19,0.23963657,0.23929479,0.239856114,0.240004219,0.240128059,0.240229982,0.240316008,0.240383154,0.240444467,0.240500191,0.24055054,0.240578012,0.240600795,0.240619004,0.240632731,0.240641943,0.240635384,0.240635726,0.24063149,0.240622601,0.240608981,0.240583872,0.240536375,0.240477333,0.240406654,0.2403241,0.240229503,0.240122653,0.2400033,0.239871037,0.239725518,0.239566233,0.239381456,0.239181612,0.238965954,0.238733657,0.238483806,0.238215268,0.237926917,0.237617381,0.237285271,0.236928915
chemicals 20,0.616617442,0.615777021,0.61725273,0.617667802,0.618020537,0.618317187,0.618573265,0.618781338,0.618974624,0.619153787,0.619319396,0.619427192,0.619523282,0.619607969,0.619681506,0.619743814,0.619766472,0.619806777,0.619835725,0.619853138,0.61985882,0.619835708,0.619756266,0.619647851,0.619510196,0.619342652,0.619144737,0.618915849,0.618655268,0.618361862,0.618034635,0.617672158,0.617244348,0.616777525,0.616269558,0.61571807,0.615120418,0.614473344,0.613773546,0.613017016,0.612199617,0.611316381
rubber and plastic products 22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cement and other nonmetallic minerals 239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
iron and steel 241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other metals 242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
metal products except machinery and vehicles 25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other manufacturing 31T33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
glass and glass products 231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
road vehicles 29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nonroad vehicles 30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
appliances and electrical equipment 27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
computers and electronics 26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other machinery 28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water and waste 36T39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
energy pipelines and gas processing 352T353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
construction 41T43,0.446254072,0.446284147,0.445437619,0.444582929,0.443719969,0.442848626,0.441968785,0.441080331,0.440183146,0.439277109,0.438362099,0.43743799,0.436504654,0.435561964,0.434609787,0.433647989,0.432676433,0.43169498,0.430703487,0.429701811,0.428689804,0.427667315,0.426634191,0.425590277,0.424535412,0.423469436,0.422392181,0.42130348,0.420203161,0.419091048,0.417966962,0.41683072,0.415682136,0.41452102,0.413423877,0.412238502,0.411040028,0.409828251,0.408602961,0.407363944,0.40611098,0.404843846
