Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
agriculture and forestry 01T03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
coal mining 05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining Support Service Activities 09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
food beverage and tobacco 10T12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
textiles apparel and leather 13T15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wood products 16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pulp paper and printing 17T18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
refined petroleum and coke 19,0.417824409,0.417367988,0.418117432,0.418315034,0.418480219,0.418616139,0.418730839,0.418820353,0.41890208,0.41897635,0.419043447,0.419080055,0.419110413,0.419134675,0.419152966,0.419165239,0.419156501,0.419156956,0.419151311,0.419139468,0.41912132,0.419087863,0.419024571,0.418945885,0.418851679,0.418741628,0.418615501,0.41847301,0.418313809,0.418137345,0.417943142,0.417730505,0.417483753,0.41721678,0.416928565,0.416617977,0.41628376,0.415924364,0.415538241,0.415123507,0.414678246,0.414200157
chemicals 20,0.866619698,0.866208402,0.86693012,0.867132711,0.867304737,0.867449312,0.867574041,0.867675338,0.867769397,0.867856548,0.867937078,0.86798948,0.868036181,0.868077332,0.86811306,0.868143327,0.868154333,0.868173909,0.868187968,0.868196424,0.868199184,0.86818796,0.868149376,0.868096709,0.868029821,0.867948384,0.867852147,0.867740799,0.867613968,0.867471077,0.86731161,0.867134836,0.866926026,0.866697959,0.866449535,0.866179524,0.865886555,0.86556894,0.865224956,0.864852511,0.864449425,0.864013086
rubber and plastic products 22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cement and other nonmetallic minerals 239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
iron and steel 241,0.926557308,0.926453396,0.926404552,0.926329624,0.926252576,0.926173537,0.926092867,0.926010365,0.925926836,0.925842285,0.925756717,0.925669016,0.925580317,0.925490619,0.925399917,0.9253082,0.92521474,0.925120974,0.925026161,0.924930286,0.924833333,0.924734855,0.924634129,0.924531844,0.924427978,0.924322501,0.924215387,0.924106608,0.923996131,0.923883914,0.923769918,0.923654093,0.923535638,0.923415228,0.923292794,0.923168262,0.92304155,0.92291256,0.922781197,0.922647342,0.92251088,0.92237167
other metals 242,0.982824188,0.98282154,0.982820013,0.982817954,0.982815853,0.98281371,0.982811535,0.982809323,0.98280709,0.982804837,0.982802564,0.982800249,0.982797914,0.98279556,0.982793186,0.982790793,0.982788366,0.982785934,0.982783481,0.982781009,0.982778517,0.982775996,0.982773431,0.982770838,0.982768216,0.982765563,0.982762881,0.982760168,0.982757425,0.98275465,0.982751843,0.982749003,0.982746116,0.982743194,0.982740236,0.982737242,0.98273421,0.982731139,0.982728027,0.982724872,0.982721672,0.982718426
metal products except machinery and vehicles 25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other manufacturing 31T33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
glass and glass products 231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
road vehicles 29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nonroad vehicles 30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
appliances and electrical equipment 27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
computers and electronics 26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
other machinery 28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
water and waste 36T39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
energy pipelines and gas processing 352T353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
construction 41T43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
