Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76081659.11,147689201,215109435.9,278588915.9,338380876.6,407819462.7,473369277.7,538919092.7,604468907.6,670018722.6,735568537.6,801118352.6,866668167.6,932217982.6,997767797.6
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90030340.37,174448567.7,253665329.2,328080399,397991482.2,308855942.2,224830898,145540612.3,70683791.52,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,508.7132081,1017.426416,1526.139624,1880.532524,2081.80099,1526.211861,1088.430396,691.2216914,329.7252866,0,32324382.49,61841769.73,88836770.77,113558114.1,136183309.3,104727685.5,75577423.58,48512517.03,23378717.16,0,107869990.2,208368711.6,302023409.5,389462445,471167567.5,364930834.6,265167530.5,171368711,83115490.1,0,642438.7074,1247097.664,1816398.716,2352423.766,2857311.151,3443655.298,3997162.396,4550669.495,5104176.594,5657683.693,6211190.792,6764697.891,7318204.989,7871712.088,8425219.187
-900,-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776300.5761,1504209.837,2187268.651,2828924.135,3431743.295,4989406.574,6454336.73,7832063.326,9127526.909,10346224.68,11866666.37,13248509.07,14630351.77,16012194.47,17394037.18,18775879.88,20157722.58,21539565.28,22921407.98,24303250.68
-850,-800,0,0,0,0,0,0,3778153.154,7185121.698,10266758.43,13059813.4,15586028.2,11914353.2,8547781.468,5457349.232,2616004.111,0,132957173.9,255865119,369534787,474887708.5,572626824.8,443062232.2,322087540.6,208965798.7,103188190.9,4141005.658,5880951.279,7511127.149,9039255.285,10473526.31,11819196.53,12513520.91,13163115.74,13769418.96,14334311.24,14861180.11,15537983.13,16145942.9,16753902.68,17361862.45,17969822.23,18577782,19185741.78,19793701.55,20401661.33,21009621.1
-800,-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3109032.705,6005610.438,8704929.484,11225100.48,13580008.44,14371795.58,15109933.78,15797331.98,16439029.36,17036013.57,13220569.43,9623879.914,6229861.586,3025617.597,0,0,0,0,0,0,0,0,0,0,0
-750,-700,0,0,0,0,0,0,0,0,0,0,0,4467582.311,8547207.256,12278210.91,15694970.26,18822019.07,18136294.72,17492429.77,16882351.42,16310120.79,15770769.22,16673591.57,17507452.71,18273910.32,18984996.41,19643777.03,15214586.99,11055285.22,7144652.943,3465226.106,0,33880.49322,65768.5838,95791.99338,124060.5159,150686.9215,181609.1382,210799.617,239990.0959,269180.5748,298371.0536,327561.5325,356752.0114,385942.4902,415132.9691,444323.448
-700,-650,0,0,0,0,0,0,5612916.38,10674391.86,15252546.46,19401976.98,23154983.25,17700253.4,12698792.41,8107570.987,3886399.446,0,5362452.035,10319596.82,14904141.78,19153254.28,23095285.44,17831426.68,12916630.23,8320986.332,4023750.618,0,42011.59889,81404.37127,118369.9408,153094.8575,185718.0417,144123.9909,104914.6928,67914.81405,32983.75953,0,0,0,0,0,0,0,0,0,0,0
