Policy:,livestock measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
-1150,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1100,-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1050,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1000,-950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-950,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-900,-850,0,0,0,0,0,0,0,0,0,0,0,9996512.084,19059506.01,27285865.54,34760188.87,41544213.98,31878033.8,22954321.21,14701698.75,7069272.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850,-800,0,0,0,0,0,0,11977221.45,22701634.62,32330401.71,40989977.8,48758152.73,37144108.39,26557326.36,16897712.9,8072416.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800,-750,0,14652969.18,29305938.37,43958907.55,54009079.36,59617153,43559709.15,30961164.66,19596961.64,9317225.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-750,-700,64965584.76,51972467.81,38979350.85,25986233.9,11972765.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-700,-650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-650,-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-600,-550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-550,-500,2408421458,2419932916,2431444375,2442955833,2261717694,2006619007,1831043507,1733721590,1644566193,1562385287,1485443959,1406949143,1334038595,1266331367,1203328788,1144250229,878015106.8,632229732.6,404928160.9,194708618,0,0,0,0,0,0,0,0,0,0,0,5206349.308,10071091.12,14616813.57,18863116.98,22829828,27529134.77,31933033.09,36336931.41,40740829.74,45144728.06,49548626.38,53952524.71,58356423.03,62760321.36,67164219.68
-500,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6003031.007,11597014.23,16812465.42,21678861.28,26218641.61,20275694.25,14707884.95,9487327.407,4591302.488,0,0,0,0,0,0,0,0,0,0,0
-450,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6941863.468,13375759.04,19339006.57,24875044.95,30017568,23179992.93,16792686.12,10819890.51,5231897.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-400,-350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8094105.547,15542129.5,22397322.66,28719179.76,34553504.19,26611430.39,19228342.77,12355919.26,5959859.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,-250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-250,-200,0,0,0,0,0,0,11505592.72,21807709.17,31057322.95,39375909.71,46838196.12,45284248.44,43820363.73,42443457.36,41145600.55,39907867.74,30622419.71,22050194.89,14122627.28,6790827.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,0,14076207.54,28152415.08,42228622.62,51883205.41,57270537.33,41845137.24,29742489.32,18825597.44,8950486.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-150,-100,62408288.91,49926631.13,37444973.34,24963315.56,11501471.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102067927,196667077,284346173.1,365743907.8,441355689.8,426119121.4,411690735.9,397978391.3,384964108.3,372544666.4,359605682.9,347305373.2,335557727.7,324309122,313550374.3,301533595.5,290022908.7,278512221.9,267001535,255490848.2,243980161.4,232469474.5,220958787.7,209448100.9,197937414
