Unit: 2012 USD,GDP
2019,5.32E+11
2020,5.59E+11
2021,5.87E+11
2022,6.13E+11
2023,6.39E+11
2024,6.64E+11
2025,6.88E+11
2026,7.11E+11
2027,7.34E+11
2028,7.56E+11
2029,7.77E+11
2030,7.97E+11
2031,8.17E+11
2032,8.36E+11
2033,8.54E+11
2034,8.73E+11
2035,8.90E+11
2036,9.07E+11
2037,9.24E+11
2038,9.40E+11
2039,9.56E+11
2040,9.72E+11
2041,9.87E+11
2042,1.00E+12
2043,1.02E+12
2044,1.03E+12
2045,1.05E+12
2046,1.06E+12
2047,1.08E+12
2048,1.09E+12
2049,1.10E+12
2050,1.12E+12
2051,1.13E+12
2052,1.14E+12
2053,1.16E+12
2054,1.17E+12
2055,1.18E+12
2056,1.19E+12
2057,1.20E+12
2058,1.20E+12
2059,1.21E+12
2060,1.21E+12
