,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27 ,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
ISIC 01T03,1.23933588,0,0.001422718,0,0,0.073789078,0.009117011,0.038957426,0.006009184,0.001152595,0.0077639,0.0077639,0.0077639,0.005575334,0.003019892,0.001093017,0.001093017,0.003016064,0.002434693,0.003107898,0.002718447,0.002444613,0.002444613,0.0020815,0.000854333,0.001693235,0.001905111,0.005738569,0.001664726,0.003585046,0.070526914,0.001648578,0.00313908,0.009599156,0.002256433,0.00507395,0.005773215,0.022404588,0.002926918,0.004181718,0.005504376,0.015077943
ISIC 05,0.028098149,1,0.035560234,0,0,0.017167283,0.036419787,0.050339063,0.083068766,0.033821819,0.05316025,0.05316025,0.05316025,0.068990154,0.081049488,0.390402143,0.390402143,0.140012088,0.051106716,0.0841385,0.100297131,0.063395944,0.063395944,0.060434613,0.303086789,0.184446326,0.048614041,0.0551811,0.01430222,0.040055556,0.041451354,0.015567593,0.030832984,0.038436017,0.012821003,0.014773081,0.032293366,0.019757817,0.012717806,0.030517797,0.024893233,0.029745732
ISIC 06,0.040534692,0,1.051946158,0,0,0.037028156,0.075155577,0.057706988,0.062328176,0.613192973,0.113333038,0.113333038,0.113333038,0.06374812,0.04488505,0.031645858,0.031645858,0.064324928,0.04477309,0.051628988,0.050099035,0.050083267,0.050083267,0.059234068,0.02393654,0.371309654,0.04067812,0.06223854,0.062621842,0.149890956,0.063183318,0.037755895,0.187597954,0.053272849,0.036042817,0.026533207,0.078720863,0.040850825,0.018595732,0.052089246,0.054290719,0.063304372
ISIC 07T08,0.007458539,0,0.013282808,1,0,0.005141524,0.01116286,0.019395098,0.031872275,0.008816988,0.018078673,0.018078673,0.018078673,0.126591313,0.046409375,0.169843198,0.169843198,0.062864627,0.021647065,0.034903566,0.043004298,0.027562612,0.027562612,0.023433628,0.008803267,0.007099943,0.006864159,0.055589002,0.003345088,0.007452495,0.005147835,0.004753513,0.008185132,0.012749514,0.003257218,0.002878672,0.010262451,0.005629122,0.00461241,0.011250999,0.006353643,0.008693177
ISIC 09,0.000779896,0,0.001388905,0,1,0.000537619,0.001167235,0.002028031,0.003332696,0.000921941,0.00189038,0.00189038,0.00189038,0.013236909,0.004852755,0.017759504,0.017759504,0.006573384,0.002263506,0.003649661,0.004496706,0.00288206,0.00288206,0.002450317,0.000920506,0.000742399,0.000717745,0.005812615,0.000349776,0.000779264,0.000538279,0.000497047,0.000855871,0.001333142,0.000340588,0.000301006,0.001073084,0.000588604,0.000482293,0.001176451,0.000664363,0.000908994
ISIC 10T12,0.210163563,0,0.003563689,0,0,1.226954912,0.028441811,0.027393692,0.013928219,0.003087659,0.012932942,0.012932942,0.012932942,0.011926879,0.010588356,0.003659908,0.003659908,0.009620181,0.007618262,0.00860394,0.008666924,0.007194812,0.007194812,0.005228577,0.002168541,0.005430797,0.004373091,0.0100437,0.004417547,0.01356998,0.24569193,0.00438489,0.006708636,0.025211403,0.005979279,0.004289953,0.019486831,0.009256493,0.006775794,0.006975046,0.008984528,0.013236003
ISIC 13T15,0.018367468,0,0.02413284,0,0,0.017868889,2.231342721,0.273801532,0.098819698,0.017173147,0.034845538,0.034845538,0.034845538,0.026521044,0.021649306,0.008706213,0.008706213,0.026729648,0.018299808,0.022468496,0.021761662,0.024974936,0.024974936,0.033364157,0.014243333,0.018174392,0.016427249,0.105203823,0.009275344,0.03114326,0.018004822,0.008928405,0.017394099,0.015921937,0.01034215,0.007748487,0.01688407,0.018029513,0.009012187,0.018132137,0.026205898,0.037507049
ISIC 16,0.003982599,0,0.002559146,0,0,0.006011414,0.006927433,1.182918622,0.022361317,0.00190497,0.005552535,0.005552535,0.005552535,0.004334411,0.006648449,0.002429123,0.002429123,0.021017445,0.004659356,0.009217743,0.01143617,0.005789429,0.005789429,0.00429571,0.001719554,0.001718586,0.001897217,0.035520368,0.001383747,0.002418897,0.003272131,0.001909997,0.002911229,0.006047369,0.001796881,0.001311589,0.004095121,0.002532042,0.001955392,0.003686238,0.003663739,0.003400874
ISIC 17T18,0.030812555,0,0.019513954,0,0,0.066832154,0.059665534,0.057232829,1.423819866,0.014828156,0.046587549,0.046587549,0.046587549,0.032482721,0.032157681,0.018009765,0.018009765,0.039326223,0.034944657,0.036794289,0.036739105,0.034230425,0.034230425,0.025947664,0.01185881,0.019799196,0.023509745,0.035071834,0.023598407,0.034105648,0.05046363,0.041704859,0.047367858,0.041404245,0.063645717,0.037824012,0.056681633,0.031242112,0.022076934,0.025431282,0.166939161,0.047455134
ISIC 19,0.064076302,0,0.064778321,0,0,0.057997211,0.109649128,0.086897741,0.095552675,1.084184735,0.163592082,0.163592082,0.163592082,0.086144639,0.068801029,0.029950481,0.029950481,0.085751183,0.069667169,0.077851484,0.077113349,0.078811352,0.078811352,0.094105549,0.036937071,0.111835208,0.067779902,0.09532541,0.109088747,0.260841274,0.08303745,0.064515933,0.328347195,0.085433445,0.061960487,0.04541379,0.13242164,0.067781618,0.030152797,0.078391535,0.091444967,0.104507291
ISIC 20,0.141799477,0,0.051290418,0,0,0.060102449,0.183968107,0.135942739,0.191125815,0.048285256,1.430871661,0.430871661,0.430871661,0.128131203,0.073304377,0.034204473,0.034204473,0.081346475,0.085508686,0.156983144,0.069057724,0.076202051,0.076202051,0.088338438,0.033440824,0.039337167,0.063559592,0.127638909,0.021994456,0.069707113,0.046564803,0.022675918,0.048200864,0.051144887,0.018601919,0.014823532,0.066201865,0.042316068,0.034603168,0.340599703,0.037842126,0.076892662
ISIC 21,0.049757891,0,0.017997972,0,0,0.021090142,0.064554999,0.047702743,0.067066661,0.016943451,0.151194248,1.151194248,0.151194248,0.04496165,0.025722741,0.012002459,0.012002459,0.028544739,0.030005272,0.055085889,0.024232577,0.026739544,0.026739544,0.030998241,0.011734492,0.013803538,0.022303265,0.044788902,0.007717925,0.02446045,0.016339739,0.007957052,0.016913838,0.017946905,0.006527473,0.005201625,0.023230447,0.014848844,0.012142363,0.119517528,0.013278923,0.026981882
ISIC 22,0.059398411,0,0.021485053,0,0,0.025176327,0.077062436,0.056945081,0.08006073,0.02022622,0.180487914,0.180487914,1.180487914,0.053672905,0.030706485,0.014327919,0.014327919,0.034075241,0.03581875,0.0657587,0.028927604,0.031920292,0.031920292,0.037004106,0.014008033,0.016477954,0.02662449,0.053466687,0.009213262,0.029199626,0.019505539,0.00949872,0.02019087,0.021424092,0.007792162,0.006209432,0.027731312,0.017725786,0.014494928,0.142673876,0.015851696,0.032209582
ISIC 231,0.010299452,0,0.005554867,0,0,0.006900551,0.010105101,0.01906956,0.015238442,0.004296253,0.018379325,0.018379325,0.018379325,1.403235303,0.020180286,0.012296662,0.012296662,0.022621061,0.056674708,0.026677642,0.020075161,0.05194532,0.05194532,0.009058656,0.004437991,0.004749662,0.007691487,0.439864292,0.004186098,0.007613563,0.006778076,0.008018551,0.009193963,0.009181286,0.004202608,0.004234438,0.008370635,0.011417266,0.023380619,0.011659045,0.006760605,0.010171317
ISIC 239,0.025846326,0,0.007433943,0,0,0.006411274,0.007362507,0.024821589,0.01194652,0.006429262,0.00817055,0.00817055,0.00817055,0.021665692,1.274375654,0.00853355,0.00853355,0.012528108,0.077061993,0.096772233,0.032839621,0.032749422,0.032749422,0.012334677,0.005667075,0.005961881,0.016029289,0.024245884,0.004118355,0.008937984,0.00615915,0.009728688,0.009112089,0.007283609,0.005084886,0.003356924,0.008388248,0.00451431,0.003402619,0.113558881,0.004221424,0.006205677
ISIC 241,0.028123436,0,0.06495301,0,0,0.020196417,0.042200866,0.088364132,0.159242391,0.042298676,0.050270259,0.050270259,0.050270259,0.122626601,0.167548882,1.385540748,0.385540748,0.302997958,0.083106731,0.166161852,0.215623587,0.125435871,0.125435871,0.114998884,0.042537065,0.033469539,0.028775005,0.088177499,0.014843184,0.032845471,0.021864704,0.020416124,0.037124002,0.059030579,0.01459621,0.012673285,0.046785149,0.022589008,0.01322913,0.035798732,0.029466543,0.037633408
ISIC 242,0.02158787,0,0.049858671,0,0,0.015503,0.032393866,0.067829315,0.122236274,0.032468946,0.038588024,0.038588024,0.038588024,0.094129577,0.128612432,0.295945473,1.295945473,0.232584687,0.063793675,0.127547732,0.165515123,0.096286005,0.096286005,0.088274455,0.032651936,0.0256916,0.022088022,0.067686054,0.011393798,0.025212558,0.016783596,0.015671649,0.028496807,0.045312545,0.011204217,0.009728158,0.035912814,0.01733958,0.010154831,0.027479515,0.022618854,0.028887833
ISIC 25,0.028919687,0,0.013538946,0,0,0.01370034,0.016764307,0.028919035,0.060924813,0.010661015,0.017231646,0.017231646,0.017231646,0.034363904,0.070930775,0.007834078,0.007834078,1.192129518,0.042565697,0.087123165,0.083962113,0.039414817,0.039414817,0.022607469,0.009712898,0.009248095,0.016707657,0.07269972,0.008304662,0.012499896,0.011541082,0.014190667,0.020074312,0.169543822,0.00697811,0.006472168,0.087762447,0.020998591,0.008201505,0.015278991,0.014318036,0.041507969
ISIC 26,0.03190165,0,0.026254731,0,0,0.022146692,0.042728268,0.063577051,0.063539893,0.021392271,0.034053634,0.034053634,0.034053634,0.043944331,0.40637797,0.014619509,0.014619509,0.095138381,2.737726748,0.34761658,0.221478474,0.192022734,0.192022734,0.038446686,0.020539847,0.041591162,0.037891921,0.081549658,0.046884634,0.050545165,0.03455783,0.263388462,0.109398209,0.076631025,0.035198724,0.021005167,0.129452944,0.043401358,0.057051595,0.054560779,0.036935102,0.065840563
ISIC 27 ,0.009936722,0,0.01446338,0,0,0.007885838,0.014579408,0.024039625,0.023225501,0.01035709,0.012881669,0.012881669,0.012881669,0.017761788,0.081992346,0.006861024,0.006861024,0.023578344,0.092303689,1.278897226,0.148372157,0.071756601,0.071756601,0.023903867,0.018530451,0.011481825,0.011947776,0.126157077,0.01312479,0.017491845,0.011543621,0.024338832,0.031381494,0.029247178,0.008090351,0.008413912,0.027533115,0.012381209,0.007484654,0.014295104,0.011393188,0.014781782
ISIC 28,0.019146503,0,0.039469561,0,0,0.011655825,0.029575819,0.041456021,0.030286931,0.029189363,0.022069134,0.022069134,0.022069134,0.045188354,0.258310843,0.016384094,0.016384094,0.051083627,0.069505777,0.110983997,1.503505279,0.101818482,0.101818482,0.069376639,0.025908014,0.027002031,0.019197848,0.051217042,0.012556259,0.043478782,0.015882339,0.014053914,0.029945527,0.02162527,0.008572716,0.008525308,0.023599905,0.013222138,0.012731755,0.032799248,0.01264565,0.020746247
ISIC 29,0.01949654,0,0.018815118,0,0,0.010013722,0.017354162,0.213115132,0.019001824,0.012290773,0.014057261,0.014057261,0.014057261,0.016381421,0.035682138,0.005826002,0.005826002,0.068880017,0.020881036,0.046255838,0.029229011,1.414261732,0.414261732,0.030478901,0.011579277,0.015307614,0.01218141,0.024079189,0.015328068,0.024719565,0.015375643,0.012053083,0.05483103,0.021138198,0.010393697,0.007958636,0.021064867,0.012254515,0.004949578,0.010648575,0.015315642,0.019303093
ISIC 30,0.004305612,0,0.004155127,0,0,0.002211428,0.00383249,0.047064303,0.004196359,0.002714292,0.003104403,0.003104403,0.003104403,0.00361767,0.007880036,0.001286613,0.001286613,0.015211449,0.004611364,0.01021513,0.006454929,0.091485478,1.091485478,0.006730954,0.002557165,0.00338053,0.00269014,0.005317643,0.003385048,0.005459064,0.003395554,0.0026618,0.012108874,0.004668155,0.002295342,0.001757584,0.004651961,0.002706285,0.001093064,0.002351629,0.003382303,0.004262891
ISIC 31T33,0.099694968,0,0.895418249,0,0,0.086953031,0.303875134,0.153344083,0.196801225,0.546362527,0.216277352,0.216277352,0.216277352,0.231380978,0.190917183,0.141800888,0.141800888,0.212189103,0.245578778,0.18579608,0.198245591,0.159721435,0.159721435,1.615423596,0.569587386,0.394417096,0.201825134,0.175002399,0.102675306,0.27675076,0.145822777,0.084329318,0.271901838,0.134627674,0.067078661,0.082220658,0.205489087,0.159509549,0.067733757,0.121551611,0.115781028,0.271797194
ISIC 351,0.059387152,0,0.036552072,0,0,0.033394978,0.067806882,0.053870159,0.070258169,0.036135593,0.079748655,0.079748655,0.079748655,0.076451591,0.054987316,0.050821443,0.050821443,0.072416091,0.070080162,0.064774558,0.055649056,0.049509176,0.049509176,0.054763795,1.229472801,0.043744581,0.153804627,0.065434862,0.030972162,0.103155718,0.103671259,0.028257333,0.055118928,0.054741301,0.02652619,0.039130776,0.048585681,0.039490914,0.027401704,0.047485767,0.048545412,0.052562353
ISIC 352T353,0.007162993,0,0.003902085,0,0,0.003515769,0.008736217,0.008284591,0.011891032,0.003143111,0.037176206,0.037176206,0.037176206,0.008416493,0.008004533,0.021253726,0.021253726,0.018967809,0.006045435,0.010793303,0.008684944,0.009315585,0.009315585,0.006568144,0.004648795,1.413977935,0.004003622,0.007955172,0.00210171,0.005012689,0.06780907,0.002222151,0.004491556,0.011405401,0.002287055,0.001769806,0.00824287,0.006339992,0.002930555,0.013730702,0.006808814,0.010183404
ISIC 36T39,0.002305343,0,0.002817717,0,0,0.002732243,0.005278801,0.003577248,0.005046331,0.002069945,0.00460005,0.00460005,0.00460005,0.003985532,0.004161436,0.003954718,0.003954718,0.006340474,0.003954075,0.004110253,0.004093341,0.00321429,0.00321429,0.004094682,0.001740271,0.002498148,1.517298694,0.00709363,0.002378416,0.004354887,0.050768649,0.001993773,0.004496606,0.007444805,0.002441192,0.005430209,0.005941123,0.007758321,0.005261169,0.005054412,0.006997891,0.0115294
ISIC 41T43,0.006776065,0,0.003347202,0,0,0.002845149,0.00592901,0.005537129,0.005408825,0.002491671,0.003654045,0.003654045,0.003654045,0.003337557,0.003866417,0.00231062,0.00231062,0.004142018,0.00421406,0.004144746,0.004353646,0.0040419,0.0040419,0.004999849,0.003551843,0.003534062,0.007989425,1.005260922,0.003922287,0.006966278,0.006960307,0.002960446,0.006665706,0.007377014,0.004904115,0.005954087,0.004601424,0.019644688,0.018246063,0.009003548,0.008123751,0.012740892
ISIC 45T47,0.060375207,0,0.029044849,0,0,0.079642491,0.146590883,0.240559831,0.154297747,0.024105125,0.071941948,0.071941948,0.071941948,0.138727541,0.115446921,0.022146834,0.022146834,0.149279706,0.178895781,0.120225284,0.109988023,0.233298422,0.233298422,0.044883155,0.019065107,0.027911104,0.03031275,0.149318451,1.103788679,0.048529671,0.071444476,0.050931577,0.068105312,0.109414624,0.033461288,0.021141369,0.082860017,0.036179298,0.025523655,0.075474357,0.068273686,0.059116219
ISIC 49T53,0.13997031,0,0.072525481,0,0,0.119731001,0.208867319,0.1930576,0.198943529,0.058578666,0.166226952,0.166226952,0.166226952,0.19342579,0.16877628,0.078103462,0.078103462,0.163827701,0.153531177,0.167917927,0.172458864,0.176651958,0.176651958,0.104360422,0.045659292,0.559406431,0.068367372,0.301762728,0.227505501,1.939402202,0.129071854,0.074737004,0.213103397,0.216036417,0.075157065,0.045926312,0.192899716,0.088233715,0.070095373,0.101405621,0.102082886,0.111882822
ISIC 55T56,0.013152858,0,0.007022652,0,0,0.007188747,0.013284005,0.010437699,0.011894022,0.00503712,0.011435168,0.011435168,0.011435168,0.01078,0.016723456,0.00353107,0.00353107,0.008849878,0.010440804,0.012480821,0.013146786,0.009170521,0.009170521,0.009912717,0.004044727,0.007374147,0.007858566,0.010996542,0.009360437,0.013617237,1.009976899,0.010102756,0.013694488,0.082854004,0.015905996,0.009149612,0.060389412,0.013040741,0.013435858,0.007979645,0.011789251,0.028794455
ISIC 58T60,0.011171048,0,0.008509287,0,0,0.006375965,0.0132383,0.011379446,0.010663883,0.005875607,0.009027624,0.009027624,0.009027624,0.00908958,0.01047589,0.004388342,0.004388342,0.008840025,0.011618513,0.009822687,0.009806898,0.009986191,0.009986191,0.008062397,0.004335449,0.010703377,0.017214098,0.017656121,0.019137295,0.019344796,0.015975385,1.389749178,0.018343479,0.017465408,0.065572635,0.015344655,0.016827753,0.012523662,0.006895053,0.007349371,0.012428242,0.015539442
ISIC 61,0.102785859,0,0.098243064,0,0,0.150738309,0.24704643,0.187794405,0.198030418,0.071714387,0.176492256,0.176492256,0.176492256,0.139304999,0.136414762,0.049888419,0.049888419,0.143743123,0.147809083,0.147809098,0.138867837,0.174099247,0.174099247,0.095942877,0.044899552,0.150707699,0.192839739,0.15792557,0.324685925,0.255431702,0.260058518,0.227068636,1.337523203,0.222085126,0.213703233,0.152692447,0.275952851,0.195114524,0.064712797,0.118573088,0.3086613,0.312529894
ISIC 62T63,0.0002682,0,3.07885E-07,0,0,1.59684E-05,1.97298E-06,8.43063E-06,1.30042E-06,2.49429E-07,1.68016E-06,1.68016E-06,1.68016E-06,1.20654E-06,6.53523E-07,2.36536E-07,2.36536E-07,6.52695E-07,5.26883E-07,6.72568E-07,5.88289E-07,5.29029E-07,5.29029E-07,4.50449E-07,1.84883E-07,3.66427E-07,4.12278E-07,1.24186E-06,3.60257E-07,7.75826E-07,1.52625E-05,3.56763E-07,6.79316E-07,1.005753702,4.88306E-07,1.09803E-06,1.24936E-06,4.84849E-06,6.33403E-07,9.0495E-07,1.19118E-06,3.26296E-06
ISIC 64T66,0.052198443,0,0.106172012,0,0,0.047079022,0.095722517,0.094921529,0.080987063,0.069444259,0.071643937,0.071643937,0.071643937,0.077977033,0.083239504,0.050780044,0.050780044,0.078756728,0.116818606,0.079544337,0.078324824,0.087489099,0.087489099,0.079868532,0.042175776,0.092067596,0.158783815,0.157846783,0.164753629,0.091378425,0.103173659,0.096728959,0.145076493,0.133662842,1.133890251,0.17540532,0.093523442,0.086161258,0.028120989,0.053028317,0.07367281,0.090064342
ISIC 68,0.017624286,0,0.020362059,0,0,0.017423552,0.03349341,0.033276798,0.03669452,0.014062986,0.023662524,0.023662524,0.023662524,0.02373895,0.024939368,0.009618584,0.009618584,0.025329342,0.027487627,0.025201649,0.023689189,0.028154722,0.028154722,0.024223039,0.010487328,0.025224347,0.027642952,0.031807451,0.059483539,0.048710693,0.158942652,0.038371936,0.073463446,0.089515855,0.094545164,1.188535491,0.062926264,0.104184053,0.055735272,0.048767246,0.07838073,0.158185411
ISIC 69T82,0.029171579,0,0.002316004,0,0,0.006350347,0.013744808,0.010583935,0.011681199,0.001824735,0.010049285,0.010049285,0.010049285,0.007608426,0.009026034,0.001218029,0.001218029,0.00521612,0.008041796,0.008696206,0.006896806,0.018893973,0.018893973,0.00379686,0.001539764,0.00248238,0.001946379,0.028633847,0.017413298,0.005410603,0.005616567,0.002536856,0.003517169,0.003770209,0.001587952,0.001215512,1.003445754,0.002597002,0.002933704,0.005183095,0.003047872,0.003315785
ISIC 84,0.009628844,0,0.002352356,0,0,0.003789008,0.005805854,0.004658558,0.004700791,0.001717312,0.004107622,0.004107622,0.004107622,0.003389094,0.003369077,0.001199209,0.001199209,0.003410758,0.003494248,0.003533377,0.003433114,0.004065944,0.004065944,0.002316816,0.001084985,0.00358235,0.004471495,0.003870749,0.007329501,0.006314993,0.00644213,0.005291284,0.027979644,0.005582663,0.005716272,0.004005446,0.007506153,1.027099216,0.001642534,0.002862777,0.007193972,0.008206043
ISIC 85,0.007658645,0,0.00316753,0,0,0.001594066,0.002527281,0.002395235,0.002539729,0.002106642,0.00202331,0.00202331,0.00202331,0.00188701,0.001907635,0.000761562,0.000761562,0.001799993,0.001860969,0.002098696,0.001973616,0.001957501,0.001957501,0.002731122,0.001101523,0.002174513,0.002806459,0.004957225,0.002628982,0.002778983,0.003364746,0.002143949,0.00463076,0.003082628,0.006126915,0.002808583,0.003517624,0.005207369,1.059556605,0.001993522,0.002998332,0.003610851
ISIC 86T88,3.28304E-06,0,1.64307E-06,0,0,3.49527E-06,6.33441E-06,8.78801E-06,6.42974E-06,1.3286E-06,3.79484E-06,3.79484E-06,3.79484E-06,5.91018E-06,5.19193E-06,1.40343E-06,1.40343E-06,5.90033E-06,6.6932E-06,5.20763E-06,4.97434E-06,8.40523E-06,8.40523E-06,2.44686E-06,1.04656E-06,5.86739E-06,1.66493E-06,7.16155E-06,3.35593E-05,1.8656E-05,2.99165E-05,2.36515E-06,4.15474E-06,7.18535E-06,2.02677E-06,1.24309E-06,5.6346E-06,2.14205E-06,1.69188E-06,1.004944429,3.14057E-06,3.41677E-06
