Unit: dimensionless (% of workers),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ISIC 01T03,0.174,0.17,0.168,0.166,0.165,0.164,0.164,0.166,0.17,0.174,0.165,0.164,0.163,0.163,0.162,0.161,0.16,0.159,0.158,0.157,0.156,0.155,0.154,0.153,0.152,0.151,0.151,0.15,0.149,0.148,0.147,0.146521358,0.146521358,0.146521358,0.146521358,0.146521358,0.146521358,0.146521358,0.146521358,0.146521358,0.146521358
ISIC 05,0.235,0.229,0.227,0.225,0.224,0.223,0.222,0.225,0.231,0.236,0.225,0.224,0.223,0.222,0.221,0.22,0.219,0.219,0.218,0.217,0.216,0.215,0.214,0.213,0.212,0.211,0.21,0.209,0.207,0.206,0.205,0.205318004,0.205318004,0.205318004,0.205318004,0.205318004,0.205318004,0.205318004,0.205318004,0.205318004,0.205318004
ISIC 06,0.235,0.228,0.225,0.223,0.221,0.22,0.219,0.222,0.227,0.231,0.22,0.219,0.217,0.216,0.215,0.214,0.212,0.211,0.21,0.209,0.207,0.206,0.205,0.203,0.202,0.201,0.199,0.198,0.197,0.195,0.194,0.193940288,0.193940288,0.193940288,0.193940288,0.193940288,0.193940288,0.193940288,0.193940288,0.193940288,0.193940288
ISIC 07T08,0.171,0.166,0.165,0.164,0.163,0.162,0.162,0.164,0.168,0.172,0.164,0.163,0.162,0.162,0.161,0.16,0.16,0.159,0.158,0.158,0.157,0.156,0.155,0.155,0.154,0.153,0.152,0.151,0.151,0.15,0.149,0.14884751,0.14884751,0.14884751,0.14884751,0.14884751,0.14884751,0.14884751,0.14884751,0.14884751,0.14884751
ISIC 09,0.22,0.214,0.212,0.21,0.208,0.208,0.207,0.21,0.215,0.22,0.209,0.208,0.207,0.206,0.205,0.204,0.203,0.202,0.201,0.2,0.199,0.198,0.197,0.196,0.195,0.194,0.193,0.192,0.191,0.189,0.188,0.188362479,0.188362479,0.188362479,0.188362479,0.188362479,0.188362479,0.188362479,0.188362479,0.188362479,0.188362479
ISIC 10T12,0.213,0.207,0.205,0.204,0.203,0.203,0.202,0.205,0.211,0.216,0.205,0.205,0.204,0.204,0.203,0.202,0.202,0.201,0.2,0.2,0.199,0.198,0.197,0.196,0.196,0.195,0.194,0.193,0.192,0.191,0.19,0.19031919,0.19031919,0.19031919,0.19031919,0.19031919,0.19031919,0.19031919,0.19031919,0.19031919,0.19031919
ISIC 13T15,0.205,0.2,0.198,0.196,0.195,0.195,0.194,0.197,0.202,0.207,0.197,0.196,0.195,0.194,0.194,0.193,0.192,0.191,0.19,0.19,0.189,0.188,0.187,0.186,0.185,0.184,0.183,0.182,0.181,0.18,0.179,0.17898963,0.17898963,0.17898963,0.17898963,0.17898963,0.17898963,0.17898963,0.17898963,0.17898963,0.17898963
ISIC 16,0.219,0.213,0.211,0.209,0.208,0.208,0.207,0.21,0.215,0.221,0.21,0.209,0.209,0.208,0.207,0.206,0.206,0.205,0.204,0.203,0.202,0.201,0.2,0.199,0.199,0.198,0.197,0.196,0.195,0.194,0.193,0.192544059,0.192544059,0.192544059,0.192544059,0.192544059,0.192544059,0.192544059,0.192544059,0.192544059,0.192544059
ISIC 17T18,0.252,0.246,0.243,0.242,0.241,0.24,0.239,0.242,0.248,0.254,0.242,0.241,0.241,0.24,0.239,0.238,0.237,0.236,0.235,0.234,0.233,0.232,0.231,0.23,0.229,0.228,0.226,0.225,0.224,0.223,0.222,0.22166435,0.22166435,0.22166435,0.22166435,0.22166435,0.22166435,0.22166435,0.22166435,0.22166435,0.22166435
ISIC 19,0.238,0.232,0.229,0.227,0.226,0.225,0.224,0.227,0.232,0.237,0.226,0.225,0.224,0.223,0.222,0.221,0.22,0.219,0.218,0.216,0.215,0.214,0.213,0.212,0.211,0.21,0.208,0.207,0.206,0.205,0.204,0.20360231,0.20360231,0.20360231,0.20360231,0.20360231,0.20360231,0.20360231,0.20360231,0.20360231,0.20360231
ISIC 20,0.245,0.239,0.237,0.235,0.234,0.234,0.233,0.236,0.242,0.248,0.236,0.235,0.235,0.234,0.233,0.232,0.231,0.23,0.23,0.229,0.228,0.227,0.226,0.225,0.224,0.223,0.221,0.22,0.219,0.218,0.217,0.216996428,0.216996428,0.216996428,0.216996428,0.216996428,0.216996428,0.216996428,0.216996428,0.216996428,0.216996428
ISIC 21,0.292,0.285,0.282,0.28,0.279,0.278,0.277,0.281,0.287,0.294,0.28,0.279,0.278,0.277,0.276,0.275,0.274,0.273,0.272,0.271,0.269,0.268,0.267,0.266,0.265,0.263,0.262,0.261,0.259,0.258,0.257,0.256668036,0.256668036,0.256668036,0.256668036,0.256668036,0.256668036,0.256668036,0.256668036,0.256668036,0.256668036
ISIC 22,0.219,0.213,0.211,0.21,0.209,0.209,0.208,0.211,0.217,0.223,0.212,0.211,0.211,0.21,0.21,0.209,0.209,0.208,0.207,0.207,0.206,0.205,0.204,0.204,0.203,0.202,0.201,0.2,0.2,0.199,0.198,0.197814256,0.197814256,0.197814256,0.197814256,0.197814256,0.197814256,0.197814256,0.197814256,0.197814256,0.197814256
ISIC 231,0.252,0.246,0.244,0.242,0.241,0.24,0.239,0.242,0.248,0.254,0.242,0.241,0.24,0.24,0.239,0.238,0.237,0.236,0.235,0.234,0.233,0.231,0.23,0.229,0.228,0.227,0.226,0.225,0.223,0.222,0.221,0.220920338,0.220920338,0.220920338,0.220920338,0.220920338,0.220920338,0.220920338,0.220920338,0.220920338,0.220920338
ISIC 239,0.209,0.204,0.202,0.201,0.199,0.199,0.198,0.201,0.206,0.212,0.201,0.2,0.2,0.199,0.198,0.198,0.197,0.196,0.195,0.195,0.194,0.193,0.192,0.191,0.19,0.189,0.189,0.188,0.187,0.186,0.185,0.184734095,0.184734095,0.184734095,0.184734095,0.184734095,0.184734095,0.184734095,0.184734095,0.184734095,0.184734095
ISIC 241,0.199,0.194,0.193,0.192,0.191,0.191,0.19,0.193,0.198,0.204,0.194,0.193,0.193,0.192,0.192,0.192,0.191,0.19,0.19,0.189,0.189,0.188,0.188,0.187,0.186,0.185,0.185,0.184,0.183,0.183,0.182,0.181777491,0.181777491,0.181777491,0.181777491,0.181777491,0.181777491,0.181777491,0.181777491,0.181777491,0.181777491
ISIC 242,0.286,0.279,0.277,0.276,0.275,0.275,0.274,0.278,0.285,0.293,0.279,0.279,0.278,0.278,0.277,0.277,0.276,0.276,0.275,0.274,0.273,0.273,0.272,0.271,0.27,0.269,0.268,0.267,0.266,0.265,0.264,0.264361772,0.264361772,0.264361772,0.264361772,0.264361772,0.264361772,0.264361772,0.264361772,0.264361772,0.264361772
ISIC 25,0.219,0.213,0.211,0.21,0.209,0.209,0.208,0.211,0.217,0.223,0.212,0.211,0.211,0.21,0.21,0.209,0.208,0.208,0.207,0.206,0.205,0.205,0.204,0.203,0.202,0.201,0.201,0.2,0.199,0.198,0.197,0.196991834,0.196991834,0.196991834,0.196991834,0.196991834,0.196991834,0.196991834,0.196991834,0.196991834,0.196991834
ISIC 26,0.241,0.235,0.232,0.231,0.229,0.229,0.228,0.231,0.237,0.243,0.231,0.23,0.23,0.229,0.228,0.227,0.226,0.225,0.225,0.224,0.223,0.222,0.221,0.22,0.219,0.218,0.216,0.215,0.214,0.213,0.212,0.212049312,0.212049312,0.212049312,0.212049312,0.212049312,0.212049312,0.212049312,0.212049312,0.212049312,0.212049312
ISIC 27,0.224,0.218,0.216,0.214,0.213,0.213,0.212,0.215,0.221,0.226,0.215,0.215,0.214,0.213,0.212,0.212,0.211,0.21,0.209,0.208,0.207,0.207,0.206,0.205,0.204,0.203,0.202,0.201,0.2,0.199,0.198,0.197845833,0.197845833,0.197845833,0.197845833,0.197845833,0.197845833,0.197845833,0.197845833,0.197845833,0.197845833
