Unit: dimensionless (% of workers),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ISIC 01T03,0.242,0.246,0.251,0.255,0.259,0.264,0.268,0.273,0.277,0.281,0.286,0.29,0.294,0.299,0.303,0.308,0.312,0.316,0.321,0.325,0.329,0.334,0.338,0.342,0.346,0.351,0.355,0.359,0.363,0.368,0.372,0.371774018,0.371774018,0.371774018,0.371774018,0.371774018,0.371774018,0.371774018,0.371774018,0.371774018,0.371774018
ISIC 05,0.042,0.043,0.045,0.047,0.048,0.05,0.052,0.053,0.055,0.057,0.059,0.06,0.062,0.064,0.066,0.068,0.07,0.072,0.074,0.076,0.078,0.08,0.082,0.084,0.086,0.088,0.09,0.092,0.095,0.097,0.099,0.099098828,0.099098828,0.099098828,0.099098828,0.099098828,0.099098828,0.099098828,0.099098828,0.099098828,0.099098828
ISIC 06,0.13,0.133,0.136,0.139,0.143,0.146,0.149,0.153,0.156,0.159,0.163,0.166,0.169,0.173,0.176,0.18,0.183,0.187,0.19,0.194,0.197,0.201,0.205,0.208,0.212,0.215,0.219,0.223,0.226,0.23,0.234,0.233611971,0.233611971,0.233611971,0.233611971,0.233611971,0.233611971,0.233611971,0.233611971,0.233611971,0.233611971
ISIC 07T08,0.127,0.13,0.133,0.136,0.139,0.143,0.146,0.149,0.153,0.156,0.159,0.163,0.166,0.169,0.173,0.176,0.18,0.183,0.187,0.19,0.194,0.197,0.201,0.204,0.208,0.211,0.215,0.219,0.222,0.226,0.229,0.229499006,0.229499006,0.229499006,0.229499006,0.229499006,0.229499006,0.229499006,0.229499006,0.229499006,0.229499006
ISIC 09,0.207,0.211,0.215,0.219,0.223,0.227,0.232,0.236,0.24,0.244,0.248,0.252,0.256,0.261,0.265,0.269,0.273,0.277,0.282,0.286,0.29,0.294,0.298,0.302,0.307,0.311,0.315,0.319,0.323,0.327,0.331,0.33139746,0.33139746,0.33139746,0.33139746,0.33139746,0.33139746,0.33139746,0.33139746,0.33139746,0.33139746
ISIC 10T12,0.287,0.291,0.296,0.3,0.305,0.31,0.314,0.319,0.324,0.328,0.333,0.337,0.342,0.346,0.351,0.355,0.36,0.364,0.369,0.373,0.378,0.382,0.386,0.391,0.395,0.399,0.404,0.408,0.412,0.416,0.42,0.420421012,0.420421012,0.420421012,0.420421012,0.420421012,0.420421012,0.420421012,0.420421012,0.420421012,0.420421012
ISIC 13T15,0.226,0.23,0.234,0.239,0.243,0.247,0.251,0.256,0.26,0.264,0.269,0.273,0.277,0.282,0.286,0.29,0.294,0.299,0.303,0.307,0.311,0.316,0.32,0.324,0.328,0.333,0.337,0.341,0.345,0.349,0.354,0.353586418,0.353586418,0.353586418,0.353586418,0.353586418,0.353586418,0.353586418,0.353586418,0.353586418,0.353586418
ISIC 16,0.236,0.24,0.244,0.249,0.253,0.257,0.262,0.266,0.271,0.275,0.279,0.284,0.288,0.292,0.297,0.301,0.305,0.31,0.314,0.318,0.323,0.327,0.331,0.335,0.34,0.344,0.348,0.352,0.357,0.361,0.365,0.365004834,0.365004834,0.365004834,0.365004834,0.365004834,0.365004834,0.365004834,0.365004834,0.365004834,0.365004834
ISIC 17T18,0.163,0.166,0.17,0.174,0.177,0.181,0.185,0.189,0.192,0.196,0.2,0.204,0.207,0.211,0.215,0.219,0.223,0.227,0.23,0.234,0.238,0.242,0.246,0.25,0.254,0.258,0.262,0.265,0.269,0.273,0.277,0.277232447,0.277232447,0.277232447,0.277232447,0.277232447,0.277232447,0.277232447,0.277232447,0.277232447,0.277232447
ISIC 19,0.167,0.17,0.174,0.178,0.182,0.185,0.189,0.193,0.197,0.201,0.204,0.208,0.212,0.216,0.22,0.224,0.227,0.231,0.235,0.239,0.243,0.247,0.251,0.255,0.259,0.263,0.267,0.271,0.274,0.278,0.282,0.282332846,0.282332846,0.282332846,0.282332846,0.282332846,0.282332846,0.282332846,0.282332846,0.282332846,0.282332846
ISIC 20,0.144,0.147,0.15,0.154,0.157,0.161,0.164,0.168,0.171,0.175,0.178,0.182,0.185,0.189,0.193,0.196,0.2,0.204,0.207,0.211,0.215,0.218,0.222,0.226,0.23,0.233,0.237,0.241,0.245,0.248,0.252,0.252237355,0.252237355,0.252237355,0.252237355,0.252237355,0.252237355,0.252237355,0.252237355,0.252237355,0.252237355
ISIC 21,0.142,0.145,0.149,0.152,0.155,0.159,0.162,0.166,0.169,0.173,0.176,0.18,0.183,0.187,0.191,0.194,0.198,0.201,0.205,0.209,0.212,0.216,0.22,0.224,0.227,0.231,0.235,0.239,0.242,0.246,0.25,0.2498077,0.2498077,0.2498077,0.2498077,0.2498077,0.2498077,0.2498077,0.2498077,0.2498077,0.2498077
ISIC 22,0.141,0.144,0.147,0.151,0.154,0.158,0.161,0.165,0.168,0.172,0.175,0.179,0.182,0.186,0.189,0.193,0.197,0.2,0.204,0.208,0.211,0.215,0.219,0.222,0.226,0.23,0.233,0.237,0.241,0.245,0.248,0.24847326,0.24847326,0.24847326,0.24847326,0.24847326,0.24847326,0.24847326,0.24847326,0.24847326,0.24847326
ISIC 231,0.218,0.222,0.226,0.23,0.235,0.239,0.243,0.247,0.252,0.256,0.26,0.264,0.269,0.273,0.277,0.281,0.286,0.29,0.294,0.298,0.302,0.307,0.311,0.315,0.319,0.324,0.328,0.332,0.336,0.34,0.344,0.344324656,0.344324656,0.344324656,0.344324656,0.344324656,0.344324656,0.344324656,0.344324656,0.344324656,0.344324656
ISIC 239,0.255,0.259,0.264,0.268,0.273,0.277,0.282,0.286,0.291,0.295,0.3,0.304,0.309,0.313,0.317,0.322,0.326,0.331,0.335,0.339,0.344,0.348,0.352,0.357,0.361,0.365,0.37,0.374,0.378,0.382,0.386,0.386395623,0.386395623,0.386395623,0.386395623,0.386395623,0.386395623,0.386395623,0.386395623,0.386395623,0.386395623
ISIC 241,0.135,0.138,0.141,0.145,0.148,0.151,0.155,0.158,0.162,0.165,0.168,0.172,0.175,0.179,0.182,0.186,0.189,0.193,0.197,0.2,0.204,0.207,0.211,0.215,0.218,0.222,0.226,0.229,0.233,0.237,0.24,0.240409165,0.240409165,0.240409165,0.240409165,0.240409165,0.240409165,0.240409165,0.240409165,0.240409165,0.240409165
ISIC 242,0.234,0.238,0.242,0.247,0.251,0.255,0.26,0.264,0.269,0.273,0.277,0.282,0.286,0.29,0.295,0.299,0.303,0.307,0.312,0.316,0.32,0.325,0.329,0.333,0.337,0.342,0.346,0.35,0.354,0.359,0.363,0.362734947,0.362734947,0.362734947,0.362734947,0.362734947,0.362734947,0.362734947,0.362734947,0.362734947,0.362734947
ISIC 25,0.149,0.152,0.156,0.159,0.162,0.166,0.17,0.173,0.177,0.18,0.184,0.188,0.191,0.195,0.199,0.202,0.206,0.21,0.213,0.217,0.221,0.225,0.228,0.232,0.236,0.24,0.244,0.247,0.251,0.255,0.259,0.258816714,0.258816714,0.258816714,0.258816714,0.258816714,0.258816714,0.258816714,0.258816714,0.258816714,0.258816714
ISIC 26,0.116,0.119,0.122,0.125,0.128,0.131,0.134,0.137,0.14,0.144,0.147,0.15,0.153,0.156,0.16,0.163,0.166,0.169,0.173,0.176,0.18,0.183,0.186,0.19,0.193,0.197,0.2,0.204,0.207,0.211,0.214,0.214186407,0.214186407,0.214186407,0.214186407,0.214186407,0.214186407,0.214186407,0.214186407,0.214186407,0.214186407
ISIC 27,0.153,0.156,0.16,0.163,0.167,0.17,0.174,0.178,0.181,0.185,0.189,0.192,0.196,0.2,0.203,0.207,0.211,0.215,0.218,0.222,0.226,0.23,0.234,0.237,0.241,0.245,0.249,0.253,0.257,0.26,0.264,0.264312288,0.264312288,0.264312288,0.264312288,0.264312288,0.264312288,0.264312288,0.264312288,0.264312288,0.264312288
ISIC 28,0.112,0.115,0.118,0.121,0.124,0.127,0.13,0.133,0.136,0.139,0.142,0.145,0.148,0.151,0.155,0.158,0.161,0.164,0.168,0.171,0.174,0.178,0.181,0.184,0.188,0.191,0.195,0.198,0.202,0.205,0.209,0.208524168,0.208524168,0.208524168,0.208524168,0.208524168,0.208524168,0.208524168,0.208524168,0.208524168,0.208524168
ISIC 29,0.099,0.102,0.104,0.107,0.11,0.113,0.115,0.118,0.121,0.124,0.127,0.13,0.133,0.136,0.139,0.142,0.145,0.148,0.151,0.154,0.157,0.161,0.164,0.167,0.17,0.173,0.177,0.18,0.183,0.186,0.19,0.189751737,0.189751737,0.189751737,0.189751737,0.189751737,0.189751737,0.189751737,0.189751737,0.189751737,0.189751737
ISIC 30,0.166,0.169,0.173,0.176,0.18,0.184,0.188,0.191,0.195,0.199,0.203,0.207,0.21,0.214,0.218,0.222,0.226,0.23,0.234,0.237,0.241,0.245,0.249,0.253,0.257,0.261,0.265,0.269,0.273,0.277,0.281,0.280538753,0.280538753,0.280538753,0.280538753,0.280538753,0.280538753,0.280538753,0.280538753,0.280538753,0.280538753
ISIC 31T33,0.187,0.191,0.195,0.198,0.202,0.206,0.21,0.214,0.218,0.222,0.226,0.23,0.234,0.238,0.242,0.246,0.251,0.255,0.259,0.263,0.267,0.271,0.275,0.279,0.283,0.287,0.291,0.295,0.299,0.303,0.307,0.307288454,0.307288454,0.307288454,0.307288454,0.307288454,0.307288454,0.307288454,0.307288454,0.307288454,0.307288454
ISIC 351,0.14,0.143,0.146,0.15,0.153,0.157,0.16,0.164,0.167,0.171,0.174,0.178,0.181,0.185,0.188,0.192,0.195,0.199,0.203,0.206,0.21,0.214,0.217,0.221,0.225,0.228,0.232,0.236,0.24,0.243,0.247,0.247136112,0.247136112,0.247136112,0.247136112,0.247136112,0.247136112,0.247136112,0.247136112,0.247136112,0.247136112
ISIC 352T353,0.108,0.111,0.114,0.116,0.119,0.122,0.125,0.128,0.131,0.134,0.137,0.14,0.144,0.147,0.15,0.153,0.156,0.159,0.163,0.166,0.169,0.172,0.176,0.179,0.182,0.186,0.189,0.193,0.196,0.199,0.203,0.202809518,0.202809518,0.202809518,0.202809518,0.202809518,0.202809518,0.202809518,0.202809518,0.202809518,0.202809518
ISIC 36T39,0.198,0.202,0.206,0.21,0.214,0.218,0.222,0.226,0.23,0.234,0.238,0.242,0.247,0.251,0.255,0.259,0.263,0.267,0.271,0.275,0.28,0.284,0.288,0.292,0.296,0.3,0.304,0.308,0.312,0.317,0.321,0.320593115,0.320593115,0.320593115,0.320593115,0.320593115,0.320593115,0.320593115,0.320593115,0.320593115,0.320593115
ISIC 41T43,0.3,0.305,0.309,0.314,0.319,0.323,0.328,0.333,0.337,0.342,0.346,0.351,0.356,0.36,0.365,0.369,0.374,0.378,0.383,0.387,0.391,0.396,0.4,0.405,0.409,0.413,0.417,0.422,0.426,0.43,0.434,0.434338002,0.434338002,0.434338002,0.434338002,0.434338002,0.434338002,0.434338002,0.434338002,0.434338002,0.434338002
ISIC 45T47,0.185,0.189,0.193,0.196,0.2,0.204,0.208,0.212,0.216,0.22,0.224,0.228,0.232,0.236,0.24,0.244,0.248,0.252,0.256,0.26,0.264,0.268,0.272,0.277,0.281,0.285,0.289,0.293,0.297,0.301,0.305,0.304832361,0.304832361,0.304832361,0.304832361,0.304832361,0.304832361,0.304832361,0.304832361,0.304832361,0.304832361
ISIC 49T53,0.208,0.212,0.216,0.22,0.224,0.228,0.233,0.237,0.241,0.245,0.249,0.253,0.258,0.262,0.266,0.27,0.274,0.279,0.283,0.287,0.291,0.295,0.299,0.304,0.308,0.312,0.316,0.32,0.324,0.328,0.333,0.332582106,0.332582106,0.332582106,0.332582106,0.332582106,0.332582106,0.332582106,0.332582106,0.332582106,0.332582106
ISIC 55T56,0.273,0.277,0.282,0.286,0.291,0.296,0.3,0.305,0.309,0.314,0.318,0.323,0.327,0.332,0.336,0.341,0.345,0.35,0.354,0.359,0.363,0.367,0.372,0.376,0.38,0.385,0.389,0.393,0.397,0.402,0.406,0.405830143,0.405830143,0.405830143,0.405830143,0.405830143,0.405830143,0.405830143,0.405830143,0.405830143,0.405830143
ISIC 58T60,0.131,0.134,0.137,0.14,0.144,0.147,0.15,0.154,0.157,0.16,0.164,0.167,0.17,0.174,0.177,0.181,0.184,0.188,0.191,0.195,0.199,0.202,0.206,0.209,0.213,0.217,0.22,0.224,0.227,0.231,0.235,0.234765575,0.234765575,0.234765575,0.234765575,0.234765575,0.234765575,0.234765575,0.234765575,0.234765575,0.234765575
ISIC 61,0.16,0.163,0.167,0.17,0.174,0.178,0.181,0.185,0.189,0.193,0.196,0.2,0.204,0.207,0.211,0.215,0.219,0.223,0.227,0.23,0.234,0.238,0.242,0.246,0.25,0.254,0.257,0.261,0.265,0.269,0.273,0.273020357,0.273020357,0.273020357,0.273020357,0.273020357,0.273020357,0.273020357,0.273020357,0.273020357,0.273020357
ISIC 62T63,0.094,0.097,0.099,0.102,0.104,0.107,0.11,0.113,0.116,0.118,0.121,0.124,0.127,0.13,0.133,0.136,0.139,0.142,0.145,0.148,0.151,0.154,0.157,0.16,0.163,0.166,0.17,0.173,0.176,0.179,0.183,0.182513997,0.182513997,0.182513997,0.182513997,0.182513997,0.182513997,0.182513997,0.182513997,0.182513997,0.182513997
ISIC 64T66,0.114,0.117,0.12,0.123,0.126,0.129,0.132,0.135,0.138,0.141,0.144,0.147,0.151,0.154,0.157,0.16,0.164,0.167,0.17,0.174,0.177,0.18,0.184,0.187,0.191,0.194,0.197,0.201,0.204,0.208,0.211,0.211361745,0.211361745,0.211361745,0.211361745,0.211361745,0.211361745,0.211361745,0.211361745,0.211361745,0.211361745
ISIC 68,0.162,0.165,0.169,0.173,0.176,0.18,0.184,0.188,0.191,0.195,0.199,0.202,0.206,0.21,0.214,0.218,0.222,0.225,0.229,0.233,0.237,0.241,0.245,0.249,0.253,0.256,0.26,0.264,0.268,0.272,0.276,0.275951404,0.275951404,0.275951404,0.275951404,0.275951404,0.275951404,0.275951404,0.275951404,0.275951404,0.275951404
ISIC 69T82,0.161,0.164,0.168,0.172,0.175,0.179,0.183,0.186,0.19,0.194,0.198,0.201,0.205,0.209,0.213,0.217,0.22,0.224,0.228,0.232,0.236,0.24,0.244,0.247,0.251,0.255,0.259,0.263,0.267,0.271,0.275,0.274667959,0.274667959,0.274667959,0.274667959,0.274667959,0.274667959,0.274667959,0.274667959,0.274667959,0.274667959
ISIC 84,0.131,0.134,0.137,0.14,0.144,0.147,0.15,0.154,0.157,0.16,0.164,0.167,0.171,0.174,0.178,0.181,0.185,0.188,0.192,0.195,0.199,0.202,0.206,0.209,0.213,0.217,0.22,0.224,0.228,0.231,0.235,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136
ISIC 85,0.125,0.128,0.131,0.134,0.137,0.141,0.144,0.147,0.15,0.154,0.157,0.16,0.164,0.167,0.17,0.174,0.177,0.181,0.184,0.188,0.191,0.195,0.198,0.202,0.205,0.209,0.212,0.216,0.22,0.223,0.227,0.226742281,0.226742281,0.226742281,0.226742281,0.226742281,0.226742281,0.226742281,0.226742281,0.226742281,0.226742281
ISIC 86T88,0.136,0.139,0.142,0.146,0.149,0.152,0.156,0.159,0.163,0.166,0.169,0.173,0.176,0.18,0.183,0.187,0.191,0.194,0.198,0.201,0.205,0.209,0.212,0.216,0.22,0.223,0.227,0.231,0.234,0.238,0.242,0.241760105,0.241760105,0.241760105,0.241760105,0.241760105,0.241760105,0.241760105,0.241760105,0.241760105,0.241760105
ISIC 90T96,0.131,0.134,0.137,0.14,0.144,0.147,0.15,0.154,0.157,0.16,0.164,0.167,0.171,0.174,0.178,0.181,0.185,0.188,0.192,0.195,0.199,0.202,0.206,0.209,0.213,0.217,0.22,0.224,0.228,0.231,0.235,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136,0.234977136
ISIC 97T98,0.352,0.357,0.361,0.366,0.371,0.376,0.381,0.386,0.39,0.395,0.4,0.404,0.409,0.413,0.418,0.422,0.427,0.431,0.436,0.44,0.445,0.449,0.453,0.458,0.462,0.466,0.47,0.474,0.478,0.483,0.487,0.486594279,0.486594279,0.486594279,0.486594279,0.486594279,0.486594279,0.486594279,0.486594279,0.486594279,0.486594279
