Unit: dimensionless (% of workers),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ISIC 01T03,0.036,0.037,0.037,0.038,0.039,0.04,0.041,0.041,0.042,0.043,0.044,0.045,0.045,0.046,0.047,0.048,0.049,0.05,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.056,0.057,0.058,0.059,0.06,0.061,0.06086949,0.06086949,0.06086949,0.06086949,0.06086949,0.06086949,0.06086949,0.06086949,0.06086949,0.06086949
ISIC 05,0.038,0.039,0.04,0.04,0.041,0.042,0.043,0.044,0.045,0.045,0.046,0.047,0.048,0.049,0.05,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.063815223,0.063815223,0.063815223,0.063815223,0.063815223,0.063815223,0.063815223,0.063815223,0.063815223,0.063815223
ISIC 06,0.048,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.075,0.076,0.077,0.077288646,0.077288646,0.077288646,0.077288646,0.077288646,0.077288646,0.077288646,0.077288646,0.077288646,0.077288646
ISIC 07T08,0.063,0.064,0.065,0.066,0.067,0.068,0.07,0.071,0.072,0.073,0.074,0.075,0.076,0.077,0.079,0.08,0.081,0.082,0.083,0.084,0.086,0.087,0.088,0.089,0.09,0.091,0.093,0.094,0.095,0.096,0.097,0.097308705,0.097308705,0.097308705,0.097308705,0.097308705,0.097308705,0.097308705,0.097308705,0.097308705,0.097308705
ISIC 09,0.036,0.037,0.038,0.038,0.039,0.04,0.041,0.042,0.042,0.043,0.044,0.045,0.046,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.052,0.053,0.054,0.055,0.056,0.057,0.058,0.059,0.059,0.06,0.061,0.061281106,0.061281106,0.061281106,0.061281106,0.061281106,0.061281106,0.061281106,0.061281106,0.061281106,0.061281106
ISIC 10T12,0.04,0.041,0.042,0.043,0.043,0.044,0.045,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.052,0.053,0.054,0.055,0.056,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.067,0.068,0.067651532,0.067651532,0.067651532,0.067651532,0.067651532,0.067651532,0.067651532,0.067651532,0.067651532,0.067651532
ISIC 13T15,0.037,0.038,0.039,0.039,0.04,0.041,0.042,0.043,0.044,0.044,0.045,0.046,0.047,0.048,0.049,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.056,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.062782668,0.062782668,0.062782668,0.062782668,0.062782668,0.062782668,0.062782668,0.062782668,0.062782668,0.062782668
ISIC 16,0.041,0.042,0.043,0.044,0.044,0.045,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.053,0.053,0.054,0.055,0.056,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.068955196,0.068955196,0.068955196,0.068955196,0.068955196,0.068955196,0.068955196,0.068955196,0.068955196,0.068955196
ISIC 17T18,0.031,0.032,0.032,0.033,0.034,0.035,0.035,0.036,0.037,0.038,0.038,0.039,0.04,0.041,0.042,0.042,0.043,0.044,0.045,0.046,0.046,0.047,0.048,0.049,0.05,0.051,0.051,0.052,0.053,0.054,0.055,0.054812034,0.054812034,0.054812034,0.054812034,0.054812034,0.054812034,0.054812034,0.054812034,0.054812034,0.054812034
ISIC 19,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.075,0.076,0.077,0.078,0.079,0.08,0.081,0.083,0.084,0.085,0.086,0.087,0.088,0.09,0.091,0.092,0.092018723,0.092018723,0.092018723,0.092018723,0.092018723,0.092018723,0.092018723,0.092018723,0.092018723,0.092018723
