Unit: dimensionless (% of workers),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ISIC 01T03,0.924,0.923,0.921,0.92,0.919,0.917,0.916,0.914,0.913,0.912,0.91,0.909,0.907,0.906,0.905,0.903,0.902,0.9,0.899,0.897,0.896,0.894,0.893,0.891,0.89,0.888,0.887,0.885,0.884,0.882,0.881,0.880639984,0.880639984,0.880639984,0.880639984,0.880639984,0.880639984,0.880639984,0.880639984,0.880639984,0.880639984
ISIC 05,0.931,0.93,0.929,0.928,0.926,0.925,0.924,0.923,0.921,0.92,0.919,0.918,0.916,0.915,0.914,0.913,0.911,0.91,0.909,0.907,0.906,0.905,0.904,0.902,0.901,0.9,0.898,0.897,0.895,0.894,0.893,0.892768086,0.892768086,0.892768086,0.892768086,0.892768086,0.892768086,0.892768086,0.892768086,0.892768086,0.892768086
ISIC 06,0.806,0.803,0.801,0.798,0.796,0.793,0.79,0.787,0.785,0.782,0.779,0.776,0.774,0.771,0.768,0.766,0.763,0.76,0.757,0.755,0.752,0.749,0.746,0.744,0.741,0.738,0.735,0.733,0.73,0.727,0.724,0.724369512,0.724369512,0.724369512,0.724369512,0.724369512,0.724369512,0.724369512,0.724369512,0.724369512,0.724369512
ISIC 07T08,0.904,0.902,0.901,0.899,0.897,0.895,0.893,0.891,0.89,0.888,0.886,0.884,0.882,0.88,0.878,0.877,0.875,0.873,0.871,0.869,0.867,0.865,0.863,0.861,0.859,0.857,0.855,0.853,0.851,0.849,0.847,0.847493618,0.847493618,0.847493618,0.847493618,0.847493618,0.847493618,0.847493618,0.847493618,0.847493618,0.847493618
ISIC 09,0.865,0.863,0.861,0.86,0.858,0.856,0.854,0.852,0.85,0.848,0.846,0.844,0.842,0.84,0.838,0.836,0.834,0.832,0.83,0.828,0.826,0.824,0.822,0.82,0.818,0.816,0.814,0.812,0.81,0.808,0.805,0.805482108,0.805482108,0.805482108,0.805482108,0.805482108,0.805482108,0.805482108,0.805482108,0.805482108,0.805482108
ISIC 10T12,0.783,0.78,0.778,0.776,0.773,0.771,0.769,0.766,0.764,0.761,0.759,0.757,0.754,0.752,0.749,0.747,0.744,0.742,0.74,0.737,0.735,0.732,0.73,0.727,0.725,0.722,0.72,0.717,0.715,0.712,0.71,0.709731865,0.709731865,0.709731865,0.709731865,0.709731865,0.709731865,0.709731865,0.709731865,0.709731865,0.709731865
ISIC 13T15,0.759,0.757,0.754,0.751,0.749,0.746,0.743,0.74,0.738,0.735,0.732,0.73,0.727,0.724,0.721,0.719,0.716,0.713,0.711,0.708,0.705,0.702,0.7,0.697,0.694,0.691,0.689,0.686,0.683,0.68,0.678,0.677705126,0.677705126,0.677705126,0.677705126,0.677705126,0.677705126,0.677705126,0.677705126,0.677705126,0.677705126
ISIC 16,0.851,0.849,0.848,0.846,0.844,0.842,0.84,0.839,0.837,0.835,0.833,0.831,0.829,0.827,0.826,0.824,0.822,0.82,0.818,0.816,0.814,0.812,0.81,0.808,0.806,0.805,0.803,0.801,0.799,0.797,0.795,0.794675225,0.794675225,0.794675225,0.794675225,0.794675225,0.794675225,0.794675225,0.794675225,0.794675225,0.794675225
ISIC 17T18,0.834,0.832,0.83,0.829,0.827,0.825,0.823,0.821,0.819,0.817,0.815,0.813,0.811,0.809,0.807,0.805,0.803,0.802,0.8,0.798,0.796,0.794,0.791,0.789,0.787,0.785,0.783,0.781,0.779,0.777,0.775,0.775093234,0.775093234,0.775093234,0.775093234,0.775093234,0.775093234,0.775093234,0.775093234,0.775093234,0.775093234
ISIC 19,0.781,0.779,0.776,0.774,0.771,0.769,0.766,0.764,0.761,0.758,0.756,0.753,0.751,0.748,0.746,0.743,0.741,0.738,0.735,0.733,0.73,0.728,0.725,0.722,0.72,0.717,0.714,0.712,0.709,0.707,0.704,0.704004284,0.704004284,0.704004284,0.704004284,0.704004284,0.704004284,0.704004284,0.704004284,0.704004284,0.704004284
ISIC 20,0.805,0.803,0.801,0.798,0.796,0.794,0.791,0.789,0.787,0.784,0.782,0.78,0.777,0.775,0.773,0.77,0.768,0.766,0.763,0.761,0.758,0.756,0.754,0.751,0.749,0.746,0.744,0.742,0.739,0.737,0.734,0.734317127,0.734317127,0.734317127,0.734317127,0.734317127,0.734317127,0.734317127,0.734317127,0.734317127,0.734317127
ISIC 21,0.721,0.718,0.715,0.712,0.709,0.706,0.703,0.7,0.697,0.694,0.691,0.688,0.685,0.682,0.679,0.676,0.673,0.67,0.667,0.665,0.662,0.659,0.656,0.653,0.65,0.647,0.644,0.641,0.638,0.635,0.632,0.632362238,0.632362238,0.632362238,0.632362238,0.632362238,0.632362238,0.632362238,0.632362238,0.632362238,0.632362238
ISIC 22,0.817,0.815,0.813,0.811,0.809,0.807,0.805,0.803,0.801,0.799,0.797,0.795,0.793,0.791,0.789,0.787,0.785,0.783,0.781,0.779,0.776,0.774,0.772,0.77,0.768,0.766,0.764,0.761,0.759,0.757,0.755,0.75500247,0.75500247,0.75500247,0.75500247,0.75500247,0.75500247,0.75500247,0.75500247,0.75500247,0.75500247
