Unit: dimensionless (% of output purchased),ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
agriculture and forestry 01T03,0.179535977,0,2.95E-07,0.00E+00,0.00E+00,0.319190954,0.005613349,0.037713691,0.002294403,7.08E-05,0.025949362,0.009105714,0.010869933,0.00369805,5.71E-04,2.60E-04,1.99E-04,6.97E-04,7.63E-04,2.98E-04,5.46E-04,1.43E-03,3.16E-04,6.85E-05,5.64E-06,2.08E-06,8.93E-06,0.01875906,1.91E-04,0.007513699,0.223346132,0.001011054,1.50E-03,0.004835236,3.06E-03,2.83E-02,2.38E-05,0.078223925,1.14E-03,0.001213318,0.003602127,2.81E-02
coal mining 05,0.000177043,0,0,0,0,2.30E-05,0.000270657,0,3.30E-07,0.009266258,0.021065352,0.0073919,0.00882407,1.31146E-05,0.00E+00,0.286387562,0.219834357,0,0,0.000486407,2.53E-08,0,0.00E+00,9.24E-06,0.370814454,5.52E-02,1.84E-07,0.019762036,0.00E+00,6.92E-07,0.00E+00,0.00E+00,1.62E-06,0,0.00E+00,0,0,2.75E-06,3.54E-04,0,0.000102535,0
oil and gas extraction 06,6.96E-09,0.00E+00,8.87E-05,0,0.00E+00,0.005222051,0.005012198,0.001533658,0.000856363,0.778582721,0.02895747,0.010161269,0.01213,0.006628949,0.00097453,0.007746577,0.00594636,0.010058733,0.003707677,1.43E-03,0.0015836,0.002435163,0.000537781,6.43E-04,4.93E-04,0.115214189,0.00E+00,5.92E-07,0,8.80E-07,1.24E-08,0.00E+00,0,0.00E+00,0,0.00E+00,0,3.36E-07,4.32E-05,0,1.25E-05,0
other mining and quarrying 07T08,2.72E-06,0,6.02E-11,0,0,0.001687959,1.46E-03,6.69E-04,0.000851407,3.28E-06,0.040586194,0.014241826,0.017001159,1.56E-01,0.051650635,0.315251866,0.241990926,0.020445521,0.005118403,0.002427177,0.010447353,4.48E-04,9.88E-05,8.93E-04,1.21E-04,1.30E-07,3.23E-05,0.118319336,1.13E-07,2.83E-04,5.20E-05,6.41E-07,7.21E-05,0.00E+00,3.02E-05,3.24E-05,1.96E-05,2.49E-05,1.74E-05,3.43E-07,1.11E-06,1.05E-04
food beverage and tobacco 10T12,0.05137741,0.00E+00,1.12E-07,0,0.00E+00,0.445597826,0.009578744,0.005451723,0.004401048,0.000422978,0.013044527,0.004577366,0.005464225,0.002810034,0.003703083,0.001027435,7.89E-04,0.004213275,0.004779631,0.002446122,4.24E-03,0.007651564,0.00168977,7.90E-05,3.45E-05,3.64E-06,3.42E-05,4.85E-05,0.000862219,0.030159308,0.370025761,0.001220915,0.003317798,1.45E-03,0.006255988,0.001243101,0.004366535,0.000923189,0.002734465,0.000754632,0.001529354,0.001698968
textiles apparel and leather 13T15,0.000619258,0.00E+00,1.11E-05,0,0.00E+00,0.004891382,0.53263093,0.046309411,0.026043288,0.000664581,0.017876582,0.00627295,0.007488325,0.00264564,0.003637029,0.000572982,0.000439828,0.004154513,0.004031856,0.004193423,0.005527204,0.022733474,0.005020456,0.002344911,0.000822716,7.05E-05,1.41E-04,0.234371978,0.002665456,0.029404718,0.003393575,0.001571851,0.004366905,0.000665084,0.007664696,0.001573307,1.98E-03,0.000688045,3.13E-04,0.000656583,0.001872562,0.009664493
wood products 16,0.000655983,0.00E+00,5.13E-11,0,0.00E+00,0.016529368,0.004290643,0.210696692,0.035087696,3.02E-04,0.015856096,0.005563955,0.006641963,0.001976407,0.00608814,0.002112211,0.001621357,0.045704942,0.008354877,0.022034587,0.03658463,0.02888244,0.006378392,0.001149019,9.03E-06,4.79E-07,1.35E-05,0.511782353,2.87E-03,0.001660459,0.001907657,0.002043039,6.82E-03,0.003020393,0.003692371,4.60E-04,2.92E-03,1.02E-03,1.37E-03,2.74E-03,0.000166309,0.000986798
pulp paper and printing 17T18,0.000763225,0.00E+00,1.55E-06,0,0.00E+00,0.048298054,0.008199757,0.006285921,0.224089581,0.000708403,0.029697414,0.010420918,0.012439955,0.003279952,0.005367578,0.003273977,0.002513142,0.010034368,0.016850962,0.011685544,0.016183465,0.03025121,0.006680671,0.001240595,0.000688608,8.90E-05,1.11E-04,0.008272446,0.007447569,0.026549138,0.015655252,0.04165308,0.087887884,0.006679777,0.220047229,0.033583175,0.037393338,0.007095969,0.008496734,0.001611655,0.03724155,0.011230704
refined petroleum and coke 19,0.000574384,0,1.45E-06,0,0,0.001313142,0.000599737,0.000369145,0.000684768,0.01261931,0.057045848,0.020017571,0.023895947,0.002109565,0.001171452,0.000488713,0.000375141,0.006461903,0.001005154,0.001308421,0.007931426,0.007500716,0.001656457,0.003566194,1.92E-05,0.000597362,7.56E-05,0.007843127,0.02411136,0.215907427,0.000471874,0.001031542,0.55711658,0.000322254,0.007420599,0.002077072,0.025812256,0.001985137,0.000809979,0.001083187,0.000677948,0.001941092
chemicals 20,0.006359629,0,9.03E-10,0,0.00E+00,0.012118057,0.015012176,0.007232202,0.025703299,0.003359255,0.283460238,0.099467107,0.118738715,0.010687982,0.007296532,0.002714134,0.002083401,0.00992366,0.023338379,0.048715555,0.008705601,0.036581925,0.008078745,0.003337116,7.78E-06,1.85E-06,0.000486672,0.070762551,0.001341654,0.031055876,0.002927722,2.57E-05,0.011688142,0.002909062,8.47E-05,6.41E-05,0.014313769,0.00223063,5.21E-03,0.114894879,5.89E-05,0.009024352
