Unit: dimensionless (share of vehicles),LDVs,HDVs,aircraft,rail,ships,motorbikes
National,0,0,0,0,0,0
Anhui,0,0,0,0,0,0
Beijing,0,0,0,0,0,0
Chongqing,0,0,0,0,0,0
Fujian,0,0,0,0,0,0
Gansu,0,0,0,0,0,0
Guangdong,0,0,0,0,0,0
Guangxi,0,0,0,0,0,0
Guizhou,0,0,0,0,0,0
Hainan,0,0,0,0,0,0
Hebei,0,0,0,0,0,0
Heilongjiang,0,0,0,0,0,0
Henan,0,0,0,0,0,0
Hubei,0,0,0,0,0,0
Hunan,0,0,0,0,0,0
Inner Mongolia,0,0,0,0,0,0
Jiangsu,0,0,0,0,0,0
Jiangxi,0,0,0,0,0,0
Jilin,0,0,0,0,0,0
Liaoning,0,0,0,0,0,0
Ningxia,0,0,0,0,0,0
Qinghai,0,0,0,0,0,0
Shaanxi,0,0,0,0,0,0
Shandong,0,0,0,0,0,0
Shanghai,1,1,1,1,1,1
Shanxi,0,0,0,0,0,0
Sichuan,0,0,0,0,0,0
Tianjin,0,0,0,0,0,0
Tibet,0,0,0,0,0,0
Xinjiang,0,0,0,0,0,0
Yunnan,0,0,0,0,0,0
Zhejiang,0,0,0,0,0,0
subregion33,0,0,0,0,0,0
subregion34,0,0,0,0,0,0
subregion35,0,0,0,0,0,0
subregion36,0,0,0,0,0,0
subregion37,0,0,0,0,0,0
subregion38,0,0,0,0,0,0
subregion39,0,0,0,0,0,0
subregion40,0,0,0,0,0,0
subregion41,0,0,0,0,0,0
subregion42,0,0,0,0,0,0
subregion43,0,0,0,0,0,0
subregion44,0,0,0,0,0,0
subregion45,0,0,0,0,0,0
subregion46,0,0,0,0,0,0
subregion47,0,0,0,0,0,0
subregion48,0,0,0,0,0,0
subregion49,0,0,0,0,0,0
subregion50,0,0,0,0,0,0
subregion51,0,0,0,0,0,0
subregion52,0,0,0,0,0,0
subregion53,0,0,0,0,0,0
subregion54,0,0,0,0,0,0
subregion55,0,0,0,0,0,0
subregion56,0,0,0,0,0,0
subregion57,0,0,0,0,0,0
subregion58,0,0,0,0,0,0
subregion59,0,0,0,0,0,0
subregion60,0,0,0,0,0,0
